  TimeWindow  TotalIterations  Iterations  Convergence
     1       4       4       1
     2       8       4       1
     3      12       4       1
     4      16       4       1
     5      20       4       1
     6      24       4       1
     7      28       4       1
     8      32       4       1
     9      37       5       1
    10      42       5       1
    11      47       5       1
    12      51       4       1
    13      55       4       1
    14      59       4       1
    15      63       4       1
    16      67       4       1
    17      72       5       1
    18      77       5       1
    19      82       5       1
    20      87       5       1
    21      92       5       1
    22      97       5       1
    23     102       5       1
    24     107       5       1
    25     112       5       1
    26     117       5       1
    27     122       5       1
    28     127       5       1
    29     131       4       1
    30     135       4       1
    31     139       4       1
    32     143       4       1
    33     147       4       1
    34     151       4       1
    35     155       4       1
    36     159       4       1
    37     163       4       1
    38     167       4       1
    39     171       4       1
    40     175       4       1
    41     179       4       1
    42     183       4       1
    43     187       4       1
    44     191       4       1
    45     195       4       1
    46     199       4       1
    47     203       4       1
    48     207       4       1
    49     211       4       1
    50     215       4       1
    51     219       4       1
    52     223       4       1
    53     228       5       1
    54     233       5       1
    55     238       5       1
    56     243       5       1
    57     248       5       1
    58     253       5       1
    59     258       5       1
    60     263       5       1
    61     268       5       1
    62     273       5       1
    63     278       5       1
    64     283       5       1
    65     288       5       1
    66     293       5       1
    67     298       5       1
    68     302       4       1
    69     306       4       1
    70     310       4       1
    71     314       4       1
    72     318       4       1
    73     322       4       1
    74     326       4       1
    75     330       4       1
    76     334       4       1
    77     338       4       1
    78     342       4       1
    79     346       4       1
    80     350       4       1
