  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   2.22355353e-03   2.21886808e-03
     1       3   4.94471925e-06   4.93429983e-06
     1       4   1.09960786e-08   1.09729264e-08
     1       5   2.44530314e-11   2.43889496e-11
     2       1   2.19489875e-01   7.29586399e-01
     2       2   7.27890325e-03   1.61982789e-03
     2       3   1.61865806e-05   3.60216409e-06
     2       4   3.59957547e-08   8.01043866e-09
     2       5   8.00468507e-11   1.78438739e-11
     3       1   4.52017967e-01   4.96121592e-01
     3       2   1.40851530e-02   1.10206051e-03
     3       3   3.13216161e-05   2.45075898e-06
     3       4   6.96530853e-08   5.44996490e-09
     3       5   1.54893686e-10   1.22474503e-11
     3       6   3.47981513e-13   1.27991254e-13
     4       1   9.71496156e-01   3.30124785e-01
     4       2   2.68713913e-02   7.33593737e-04
     4       3   5.97530942e-05   1.63136503e-06
     4       4   1.32879072e-07   3.62780866e-09
     4       5   2.95494518e-10   8.12332056e-12
     4       6   6.61881990e-13   4.34966053e-14
     5       1   6.46822138e+00   1.93272853e-01
     5       2   1.27198577e-01   4.29615987e-04
     5       3   2.82784511e-04   9.55380342e-07
     5       4   6.28856607e-07   2.12447096e-09
     5       5   1.39838407e-09   4.79532521e-12
     5       6   3.15543610e-12   0.00000000e+00
     6       1   1.30968433e+00   6.01467617e-02
     6       2   1.32175042e-02   1.33736626e-04
     6       3   2.93939816e-05   2.97403765e-07
     6       4   6.53664165e-08   6.61443786e-10
     6       5   1.45378763e-10   1.16860772e-12
     6       6   2.57044939e-13   0.00000000e+00
     7       1   4.18959428e-01   9.81835387e-02
     7       2   1.12888025e-02   2.18388473e-04
     7       3   2.51034361e-05   4.85653138e-07
     7       4   5.58250887e-08   1.07987213e-09
     7       5   1.24129969e-10   2.30047106e-12
     7       6   2.64343543e-13   0.00000000e+00
     8       1   5.41862279e-02   3.52096904e-01
     8       2   2.75320495e-02   7.83607504e-04
     8       3   6.12220897e-05   1.74259089e-06
     8       4   1.36145781e-07   3.87535605e-09
     8       5   3.02775096e-10   8.74203314e-12
     8       6   6.83070183e-13   8.30123861e-14
     9       1   2.64411159e-01   1.11127825e+00
     9       2   4.94265272e-02   2.47738553e-03
     9       3   1.09902750e-04   5.50924663e-06
     9       4   2.44401958e-07   1.22510426e-08
     9       5   5.43482552e-10   2.69747890e-11
     9       6   1.19659758e-12   3.07666847e-14
    10       1   7.20820133e-01   4.14381189e+00
    10       2   9.14225580e-02   9.13087766e-03
    10       3   2.03264380e-04   2.03048554e-05
    10       4   4.52019614e-07   4.51540261e-08
    10       5   1.00520309e-09   1.00600723e-10
    10       6   2.23966121e-12   7.60598883e-14
    11       1   1.75952699e+00   8.05046424e-01
    11       2   2.02346627e-01   1.78706486e-03
    11       3   4.49776526e-04   3.97406333e-06
    11       4   1.00021312e-06   8.83761364e-09
    11       5   2.22429738e-09   1.95584155e-11
    11       6   4.92256377e-12   2.38095272e-14
    12       1   3.61544155e+00   4.09707005e-01
    12       2   4.46370795e-01   9.10278063e-04
    12       3   9.91656091e-04   2.02427441e-06
    12       4   2.20524230e-06   4.50152760e-09
    12       5   4.90395883e-09   1.01220603e-11
    12       6   1.10266212e-11   2.01827113e-13
    13       1   3.96821099e-01   2.26947073e-01
    13       2   1.61711822e-01   5.04430869e-04
    13       3   3.59485862e-04   1.12175340e-06
    13       4   7.99424937e-07   2.49444058e-09
    13       5   1.77767944e-09   5.71800085e-12
    13       6   4.07500151e-12   4.19515836e-15
    14       1   6.54985161e-01   1.05072057e-01
    14       2   2.80580553e-02   2.33604910e-04
    14       3   6.23916779e-05   5.19490351e-07
    14       4   1.38746600e-07   1.15519028e-09
    14       5   3.08530626e-10   2.71920606e-12
    14       6   7.26487509e-13   0.00000000e+00
    15       1   5.27069204e-01   9.05720919e-03
    15       2   1.15315365e-03   2.01410382e-05
    15       3   2.56437932e-06   4.47892592e-08
    15       4   5.70261816e-09   9.99587453e-11
    15       5   1.27269678e-11   2.43044484e-13
    16       1   4.04101330e-01   7.08741365e-02
    16       2   5.04671109e-03   1.57634920e-04
    16       3   1.12230142e-05   3.50549451e-07
    16       4   2.49577961e-08   7.79367799e-10
    16       5   5.54880767e-11   1.76544547e-12
    17       1   3.01398240e-01   1.32606085e-01
    17       2   5.85743676e-03   2.94976715e-04
    17       3   1.30259516e-05   6.55970722e-07
    17       4   2.89671595e-08   1.45865709e-09
    17       5   6.44133582e-11   2.87664861e-12
    18       1   2.12441535e-01   1.63529214e-01
    18       2   4.91190895e-03   3.63788955e-04
    18       3   1.09232343e-05   8.08995535e-07
    18       4   2.42911194e-08   1.79901812e-09
    18       5   5.40176015e-11   4.09188545e-12
    19       1   1.31002988e-01   1.44789526e-01
    19       2   3.31105792e-03   3.22087003e-04
    19       3   7.36319279e-06   7.16258545e-07
    19       4   1.63742904e-08   1.59293405e-09
    19       5   3.64156923e-11   3.34642035e-12
    20       1   5.21000626e-02   7.17900894e-02
    20       2   1.45358604e-03   1.59672464e-04
    20       3   3.23249858e-06   3.55080044e-07
    20       4   7.18843663e-09   7.89943557e-10
    20       5   1.59919727e-11   1.36266866e-12
    21       1   2.88475372e-02   2.24659041e-02
    21       2   4.78457460e-04   4.99572360e-05
    21       3   1.06399372e-06   1.11094666e-07
    21       4   2.36610453e-09   2.47199698e-10
    21       5   5.26478055e-12   4.89714396e-13
    22       1   1.17138820e-01   8.98344079e-02
    22       2   2.34288761e-03   1.99734071e-04
    22       3   5.21009197e-06   4.44168808e-07
    22       4   1.15862120e-08   9.87905748e-10
    22       5   2.57696373e-11   1.91781961e-12
    23       1   2.20654267e-01   1.09798566e-01
    23       2   3.91194022e-03   2.44110711e-04
    23       3   8.69930641e-06   5.42853998e-07
    23       4   1.93455489e-08   1.20699133e-09
    23       5   4.30133342e-11   2.61516480e-12
    24       1   3.54403458e-01   8.81178488e-02
    24       2   4.64248325e-03   1.95918293e-04
    24       3   1.03238589e-05   4.35683317e-07
    24       4   2.29582182e-08   9.68741151e-10
    24       5   5.10472670e-11   2.26468808e-12
    25       1   5.56117467e-01   3.44501081e-02
    25       2   2.91713649e-03   7.66043645e-05
    25       3   6.48709305e-06   1.70353217e-07
    25       4   1.44260362e-08   3.78901906e-10
    25       5   3.20865309e-11   6.71089064e-13
    26       1   9.69843965e-01   5.02951927e-02
    26       2   8.05242567e-03   1.11859082e-04
    26       3   1.79073243e-05   2.48752602e-07
    26       4   3.98223595e-08   5.53054755e-10
    26       5   8.85377328e-11   9.86335502e-13
    27       1   3.25634252e+00   1.83865940e-01
    27       2   1.18351270e-01   4.09048774e-04
    27       3   2.63259127e-04   9.09644370e-07
    27       4   5.85436555e-07   2.02291641e-09
    27       5   1.30192502e-09   4.90919590e-12
