  TimeWindow  TotalIterations  Iterations  Convergence
     1       5       5       1
     2      10       5       1
     3      16       6       1
     4      22       6       1
     5      28       6       1
     6      34       6       1
     7      40       6       1
     8      46       6       1
     9      52       6       1
    10      58       6       1
    11      64       6       1
    12      70       6       1
    13      76       6       1
    14      82       6       1
    15      87       5       1
    16      92       5       1
    17      97       5       1
    18     102       5       1
    19     107       5       1
    20     112       5       1
    21     117       5       1
    22     122       5       1
    23     127       5       1
    24     132       5       1
    25     137       5       1
    26     142       5       1
    27     148       6       1
    28     154       6       1
    29     160       6       1
    30     166       6       1
    31     172       6       1
    32     178       6       1
    33     184       6       1
    34     190       6       1
    35     195       5       1
    36     200       5       1
    37     205       5       1
    38     210       5       1
    39     215       5       1
    40     220       5       1
