  TimeWindow  TotalIterations  Iterations  Convergence
     1       4       4       1
     2       8       4       1
     3      12       4       1
     4      16       4       1
     5      20       4       1
     6      24       4       1
     7      28       4       1
     8      32       4       1
     9      36       4       1
    10      41       5       1
    11      45       4       1
    12      49       4       1
    13      53       4       1
    14      57       4       1
    15      61       4       1
    16      65       4       1
    17      69       4       1
    18      73       4       1
    19      77       4       1
    20      81       4       1
    21      85       4       1
    22      89       4       1
    23      93       4       1
    24      97       4       1
    25     101       4       1
    26     105       4       1
    27     109       4       1
    28     113       4       1
    29     117       4       1
    30     121       4       1
    31     125       4       1
    32     129       4       1
    33     133       4       1
    34     137       4       1
    35     141       4       1
    36     145       4       1
    37     149       4       1
    38     153       4       1
    39     157       4       1
    40     161       4       1
    41     165       4       1
    42     169       4       1
    43     173       4       1
    44     177       4       1
    45     181       4       1
    46     185       4       1
    47     189       4       1
    48     193       4       1
    49     197       4       1
    50     201       4       1
    51     205       4       1
    52     209       4       1
    53     213       4       1
    54     217       4       1
    55     221       4       1
    56     225       4       1
    57     229       4       1
    58     233       4       1
    59     237       4       1
    60     241       4       1
    61     245       4       1
    62     249       4       1
    63     253       4       1
    64     257       4       1
    65     261       4       1
    66     265       4       1
    67     269       4       1
    68     273       4       1
    69     277       4       1
    70     281       4       1
    71     285       4       1
    72     289       4       1
    73     293       4       1
    74     297       4       1
    75     301       4       1
    76     305       4       1
    77     309       4       1
    78     313       4       1
    79     317       4       1
    80     321       4       1
