  TimeWindow  TotalIterations  Iterations  Convergence
     1       6       6       1
     2      12       6       1
     3      18       6       1
     4      24       6       1
     5      31       7       1
     6      37       6       1
     7      43       6       1
     8      49       6       1
     9      55       6       1
    10      61       6       1
    11      67       6       1
    12      73       6       1
    13      79       6       1
    14      85       6       1
    15      91       6       1
    16      97       6       1
    17     103       6       1
    18     109       6       1
    19     115       6       1
    20     121       6       1
