  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   1.44406821e-02   4.10404215e-03
     1       3   5.95058559e-05   1.69122858e-05
     1       4   2.45220877e-07   6.96948508e-08
     1       5   1.01054562e-09   2.87197918e-10
     1       6   4.16409612e-12   1.20508659e-12
     2       1   2.26429138e+00   6.76296125e-01
     2       2   8.99871702e-02   2.77924001e-03
     2       3   3.70695588e-04   1.14529911e-05
     2       4   1.52761741e-06   4.71972962e-08
     2       5   6.29524770e-09   1.94586307e-10
     2       6   2.59543225e-11   7.84458636e-13
     3       1   2.34011981e+00   2.82073290e-01
     3       2   7.55345300e-02   1.16106163e-03
     3       3   3.11371300e-04   4.78465974e-06
     3       4   1.28314874e-06   1.97170238e-08
     3       5   5.28770645e-09   8.16067000e-11
     3       6   2.18855899e-11   1.43386409e-13
     4       1   3.15834344e-01   3.34852443e-01
     4       2   4.40012253e-02   1.38181854e-03
     4       3   1.81294184e-04   5.69444422e-06
     4       4   7.47104584e-07   2.34664852e-08
     4       5   3.07877621e-09   9.69502263e-11
     4       6   1.27195630e-11   1.94021814e-13
     5       1   1.74605297e+01   2.12181029e+01
     5       2   6.98157871e-01   9.58169657e-02
     5       3   2.86882315e-03   3.95013351e-04
     5       4   1.18221505e-05   1.62783786e-06
     5       5   4.87186361e-08   6.71313517e-09
     5       6   2.00915048e-10   2.88278351e-11
     5       7   8.62430330e-13   8.51992390e-15
     6       1   1.20386299e+00   1.04263136e+00
     6       2   1.75390530e-01   4.27825453e-03
     6       3   7.23299216e-04   1.76301824e-05
     6       4   2.98069221e-06   7.26532280e-08
     6       5   1.22833061e-08   2.99536336e-10
     6       6   5.06416951e-11   1.15059786e-12
     7       1   5.83571143e-02   3.13499119e-01
     7       2   8.89834195e-02   1.29024879e-03
     7       3   3.66831159e-04   5.31702861e-06
     7       4   1.51169690e-06   2.19113337e-08
     7       5   6.22966278e-09   9.02100500e-11
     7       6   2.56479127e-11   1.21524170e-13
     8       1   1.82317929e+00   2.73516486e-01
     8       2   5.29257291e-02   1.12842095e-03
     8       3   2.18152113e-04   4.65019328e-06
     8       4   8.98995791e-07   1.91631376e-08
     8       5   3.70470141e-09   7.88421682e-11
     8       6   1.52421277e-11   5.23560441e-13
     9       1   7.21244656e-01   1.54666351e+00
     9       2   3.38365443e-02   6.41461535e-03
     9       3   1.39458313e-04   2.64350382e-05
     9       4   5.74701726e-07   1.08939124e-07
     9       5   2.36835258e-09   4.48150000e-10
     9       6   9.74299385e-12   1.57470983e-12
    10       1   2.85982548e-01   4.25038767e+01
    10       2   1.53995809e-02   2.12351267e-01
    10       3   6.34650033e-05   8.75856403e-04
    10       4   2.61536471e-07   3.60937982e-06
    10       5   1.07778067e-09   1.48703580e-08
    10       6   4.44038418e-12   6.01524740e-11
    11       1   2.21519693e-01   9.58122098e-01
    11       2   8.27608565e-03   3.93284941e-03
    11       3   3.41042111e-05   1.62068317e-05
    11       4   1.40541890e-07   6.67876190e-08
    11       5   5.79166722e-10   2.75210378e-10
    11       6   2.38652198e-12   1.13309967e-12
    12       1   1.79346372e+00   7.55164204e-01
    12       2   6.95221586e-02   3.10234301e-03
    12       3   2.86415611e-04   1.27844516e-05
    12       4   1.18030436e-06   5.26842194e-08
    12       5   4.86398764e-09   2.17068189e-10
    12       6   2.00408024e-11   8.93423563e-13
    13       1   2.67499901e+00   3.53118026e-01
    13       2   9.21982782e-02   1.45306891e-03
    13       3   3.80089343e-04   5.98799530e-06
    13       4   1.56633341e-06   2.46763967e-08
    13       5   6.45482529e-09   1.01659757e-10
    13       6   2.65926212e-11   2.18237008e-13
    14       1   4.75248181e-01   2.22642951e-01
    14       2   2.43861908e-02   9.18344102e-04
    14       3   1.00484290e-04   3.78446900e-06
    14       4   4.14091062e-07   1.55954319e-08
    14       5   1.70642930e-09   6.45218491e-11
    14       6   7.05964583e-12   3.66209425e-13
    15       1   1.90340077e+00   7.09436707e+00
    15       2   2.17795521e-01   3.01160245e-02
    15       3   8.96720651e-04   1.24122180e-04
    15       4   3.69533162e-06   5.11503553e-07
    15       5   1.52283358e-08   2.10554554e-09
    15       6   6.26860503e-11   8.97652837e-12
    16       1   1.87973817e+00   1.13316652e+00
    16       2   2.86789660e-01   4.64802290e-03
    16       3   1.18324562e-03   1.91539251e-05
    16       4   4.87612541e-06   7.89324095e-08
    16       5   2.00942810e-08   3.25329158e-10
    16       6   8.28212500e-11   1.34057084e-12
    17       1   3.08410374e-01   3.71394613e-01
    17       2   1.16098206e-01   1.52816153e-03
    17       3   4.78664460e-04   6.29744482e-06
    17       4   1.97255845e-06   2.59513655e-08
    17       5   8.12878726e-09   1.07095113e-10
    17       6   3.35453668e-11   3.39722738e-13
    18       1   2.02301956e+00   1.76163061e-01
    18       2   5.04147464e-02   7.26487400e-04
    18       3   2.07800059e-04   2.99383047e-06
    18       4   8.56335319e-07   1.23377078e-08
    18       5   3.52899550e-09   5.09150324e-11
    18       6   1.45636844e-11   2.72044220e-13
    19       1   7.69574968e-01   1.20893515e+00
    19       2   3.74215354e-02   5.00691129e-03
    19       3   1.54236238e-04   2.06336796e-05
    19       4   6.35600933e-07   8.50308366e-08
    19       5   2.61929419e-09   3.50294474e-10
    19       6   1.07905625e-11   1.51144980e-12
    20       1   3.36322265e-01   1.51607344e+01
    20       2   1.95539460e-02   6.66401573e-02
    20       3   8.05874200e-05   2.74696511e-04
    20       4   3.32097223e-07   1.13201377e-06
    20       5   1.36855828e-09   4.66203597e-09
    20       6   5.63635931e-12   1.81367151e-11
