  TimeWindow  TotalIterations  Iterations  Convergence
     1       4       4       1
     2       8       4       1
     3      12       4       1
     4      16       4       1
     5      21       5       1
     6      25       4       1
     7      29       4       1
     8      33       4       1
     9      37       4       1
    10      42       5       1
    11      46       4       1
    12      50       4       1
    13      54       4       1
    14      58       4       1
    15      62       4       1
    16      66       4       1
    17      70       4       1
    18      74       4       1
    19      78       4       1
    20      83       5       1
    21      87       4       1
    22      91       4       1
    23      95       4       1
    24      99       4       1
    25     104       5       1
    26     108       4       1
    27     112       4       1
    28     116       4       1
    29     120       4       1
    30     125       5       1
    31     129       4       1
    32     133       4       1
    33     137       4       1
    34     141       4       1
    35     145       4       1
    36     149       4       1
    37     153       4       1
    38     157       4       1
    39     161       4       1
    40     165       4       1
