  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   8.01827876e-03   4.99252531e-04
     1       3   9.03627425e-07   2.41578915e-08
     1       4   2.09166996e-11   3.62128483e-13
     2       1   2.40045486e+00   6.74843599e-01
     2       2   9.44458157e-02   8.72149805e-04
     2       3   1.93921907e-05   6.39700875e-08
     2       4   6.19407865e-10   1.43760450e-12
     2       5   1.22187477e-14   0.00000000e+00
     3       1   2.24370271e+00   2.73265498e-01
     3       2   1.03146323e-01   5.55003432e-04
     3       3   2.45017758e-05   4.38011037e-08
     3       4   8.17792116e-10   9.69923040e-13
     3       5   1.40211031e-14   0.00000000e+00
     4       1   2.55675837e-01   3.75268065e-01
     4       2   2.49175375e-02   1.47420031e-04
     4       3   2.24442835e-06   5.79166913e-09
     4       4   4.17625898e-11   1.16838143e-13
     5       1   9.00837147e+00   4.71949538e+02
     5       2   3.12818805e+01   1.23473611e+00
     5       3   6.16624914e-03   8.90121790e-05
     5       4   1.94934011e-07   1.84964955e-09
     5       5   2.73250785e-12   0.00000000e+00
     6       1   1.00360952e+00   1.00094822e+00
     6       2   1.55961348e-01   1.49405818e-03
     6       3   3.40071978e-05   1.13224415e-07
     6       4   1.10883169e-09   2.23597641e-12
     6       5   1.17910064e-14   0.00000000e+00
     7       1   2.29928816e-01   2.73936186e-01
     7       2   1.13502410e-01   6.26460492e-04
     7       3   2.80698390e-05   5.04843848e-08
     7       4   9.48978320e-10   1.06878744e-12
     7       5   1.26446389e-14   0.00000000e+00
     8       1   1.71019369e+00   3.73675204e-01
     8       2   3.15818105e-02   2.20791195e-04
     8       3   4.07229932e-06   1.19086308e-08
     8       4   1.03696852e-10   2.34141737e-13
     8       5   1.11611923e-15   0.00000000e+00
     9       1   6.86277874e-01   2.05537212e+00
     9       2   3.17197063e-02   2.77953747e-03
     9       3   6.61941240e-06   2.05620924e-07
     9       4   2.12544802e-10   4.02546053e-12
     9       5   2.16756231e-15   0.00000000e+00
    10       1   2.44545646e-01   4.63168665e+02
    10       2   1.70017329e-02   1.14052908e+02
    10       3   4.10753660e-06   9.16219393e-03
    10       4   1.37813890e-10   1.92946275e-07
    10       5   1.66534147e-15   3.79248303e-12
    11       1   3.08119495e-01   9.99981141e-01
    11       2   7.87562174e-03   4.91137164e-04
    11       3   8.73617892e-07   2.34329363e-08
    11       4   1.99495838e-11   3.70551187e-13
    12       1   2.38681337e+00   6.76358362e-01
    12       2   9.38160712e-02   8.72992355e-04
    12       3   1.92528935e-05   6.40139493e-08
    12       4   6.14851818e-10   1.27642884e-12
    12       5   6.85419023e-15   0.00000000e+00
    13       1   2.24985696e+00   2.74747482e-01
    13       2   1.03412612e-01   5.56614383e-04
    13       3   2.45487585e-05   4.39143819e-08
    13       4   8.19199919e-10   8.36557825e-13
    13       5   7.31837435e-15   0.00000000e+00
    14       1   2.60499345e-01   3.72598507e-01
    14       2   2.44314916e-02   1.44019939e-04
    14       3   2.15871479e-06   5.54253217e-09
    14       4   3.91648843e-11   8.29946371e-14
    15       1   9.64430473e+00   2.49108792e+02
    15       2   1.03600016e+01   4.11160506e-01
    15       3   2.04979503e-03   2.96323841e-05
    15       4   6.47907476e-08   6.10242734e-10
    15       5   8.34855804e-13   3.24392179e-13
    16       1   1.01088705e+00   1.00284411e+00
    16       2   1.56935113e-01   1.49577489e-03
    16       3   3.42105782e-05   1.13339297e-07
    16       4   1.11537183e-09   2.50800332e-12
    16       5   2.02486522e-14   0.00000000e+00
    17       1   2.22066706e-01   2.75347574e-01
    17       2   1.13912982e-01   6.27923798e-04
    17       3   2.81518858e-05   5.05862515e-08
    17       4   9.51630155e-10   1.01537524e-12
    17       5   9.13749599e-15   0.00000000e+00
    18       1   1.71396001e+00   3.70890660e-01
    18       2   3.14388705e-02   2.17194236e-04
    18       3   4.02379821e-06   1.16457474e-08
    18       4   1.01984859e-10   2.13633031e-13
    18       5   2.01868047e-15   0.00000000e+00
    19       1   6.87339509e-01   2.04138711e+00
    19       2   3.17674134e-02   2.75725537e-03
    19       3   6.62634913e-06   2.03922573e-07
    19       4   2.12723283e-10   4.02823005e-12
    19       5   2.31543579e-15   0.00000000e+00
    20       1   2.45697701e-01   4.55896378e+02
    20       2   1.70826180e-02   3.49574264e+01
    20       3   4.12331517e-06   2.78930967e-03
    20       4   1.38309383e-10   5.80399392e-08
    20       5   1.66535749e-15   1.18179193e-13
