  TimeWindow  TotalIterations  Iterations  Convergence
     1       4       4       1
     2       9       5       1
     3      14       5       1
     4      18       4       1
     5      23       5       1
     6      28       5       1
     7      33       5       1
     8      38       5       1
     9      43       5       1
    10      48       5       1
    11      52       4       1
    12      57       5       1
    13      62       5       1
    14      66       4       1
    15      71       5       1
    16      76       5       1
    17      81       5       1
    18      86       5       1
    19      91       5       1
    20      96       5       1
