  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   8.03129077e-03   4.55351937e-04
     1       3   7.77740978e-07   1.56540347e-08
     1       4   1.35245849e-11   2.46940492e-13
     2       1   2.39901771e+00   6.74815157e-01
     2       2   9.45378170e-02   8.17151850e-04
     2       3   1.69649396e-05   4.14940990e-08
     2       4   3.46825317e-10   6.50624008e-13
     2       5   5.10692576e-15   0.00000000e+00
     3       1   2.24729797e+00   2.73080221e-01
     3       2   1.03518880e-01   5.22994156e-04
     3       3   2.15530588e-05   2.84091704e-08
     3       4   4.51061972e-10   4.02721957e-13
     3       5   5.19565103e-15   0.00000000e+00
     4       1   2.54747607e-01   3.76182887e-01
     4       2   2.51294286e-02   1.33838367e-04
     4       3   1.93549848e-06   3.79290335e-09
     4       4   3.06944700e-11   2.48250288e-14
     5       1   8.71017443e+00   8.96698847e+02
     5       2   6.64349721e+04   5.54503067e+01
     5       3   1.09515542e+00   2.77932233e-03
     5       4   2.22749748e-05   3.45548230e-08
     5       5   1.69103235e-10   1.07795397e-15
     5       6   0.00000000e+00   0.00000000e+00
     6       1   1.00001775e+00   1.00001971e+00
     6       2   1.55778139e-01   1.40249630e-03
     6       3   2.97251360e-05   7.34149268e-08
     6       4   6.14613460e-10   1.09848745e-12
     6       5   1.43221355e-14   0.00000000e+00
     7       1   2.35823210e-01   2.73040258e-01
     7       2   1.13667173e-01   5.90575888e-04
     7       3   2.46647222e-05   3.27174825e-08
     7       4   5.20071871e-10   3.93631271e-13
     7       5   2.29209073e-15   0.00000000e+00
     8       1   1.70427886e+00   3.76074655e-01
     8       2   3.16815340e-02   2.05375069e-04
     8       3   3.54710558e-06   7.85251888e-09
     8       4   6.46039556e-11   1.58084568e-13
     9       1   6.85080459e-01   2.06948606e+00
     9       2   3.17137477e-02   2.62597412e-03
     9       3   5.78811603e-06   1.34419336e-07
     9       4   1.18651273e-10   2.03956378e-12
     9       5   2.88591626e-15   0.00000000e+00
    10       1   2.43417238e-01   4.92038258e+02
    10       2   1.69488708e-02   3.03431686e+02
    10       3   3.59284013e-06   1.69013522e-02
    10       4   7.54253295e-11   2.38051022e-07
    10       5   9.99202152e-16   2.95549481e-13
    11       1   3.10172994e-01   9.99993445e-01
    11       2   8.03001944e-03   4.55283447e-04
    11       3   7.77511738e-07   1.56500337e-08
    11       4   1.35198739e-11   2.59028338e-13
    12       1   2.39879856e+00   6.74827291e-01
    12       2   9.45294890e-02   8.17156267e-04
    12       3   1.69633600e-05   4.14940112e-08
    12       4   3.46762078e-10   5.28495729e-13
    12       5   3.33036106e-15   0.00000000e+00
    13       1   2.24744564e+00   2.73094926e-01
    13       2   1.03527147e-01   5.23007415e-04
    13       3   2.15546194e-05   2.84097936e-08
    13       4   4.51077020e-10   5.25950206e-13
    13       5   3.72884134e-14   0.00000000e+00
    14       1   2.54803777e-01   3.76147081e-01
    14       2   2.51249751e-02   1.33800162e-04
    14       3   1.93472637e-06   3.79101565e-09
    14       4   3.06784920e-11   9.05596841e-14
    15       1   8.71332043e+00   8.68182333e+02
    15       2   2.83090592e+03   1.94235929e+01
    15       3   3.29048596e-01   9.71807335e-04
    15       4   6.69293325e-06   1.35699476e-08
    15       5   1.13815759e-10   8.61539104e-16
    15       6   0.00000000e+00   0.00000000e+00
    16       1   1.00005908e+00   1.00005636e+00
    16       2   1.55782805e-01   1.40253584e-03
    16       3   2.97259382e-05   7.34170392e-08
    16       4   6.14637200e-10   9.63460939e-13
    16       5   7.77190333e-15   0.00000000e+00
    17       1   2.35741206e-01   2.73059551e-01
    17       2   1.13667529e-01   5.90597764e-04
    17       3   2.46645958e-05   3.27192793e-08
    17       4   5.20203838e-10   3.84396398e-13
    17       5   5.65359731e-15   0.00000000e+00
    18       1   1.70435765e+00   3.76044616e-01
    18       2   3.16801014e-02   2.05336817e-04
    18       3   3.54663434e-06   7.85086753e-09
    18       4   6.46157226e-11   1.14390316e-13
    19       1   6.85096473e-01   2.06934449e+00
    19       2   3.17140873e-02   2.62576163e-03
    19       3   5.78815020e-06   1.34408794e-07
    19       4   1.18664600e-10   1.79786505e-12
    19       5   1.58728553e-15   0.00000000e+00
    20       1   2.43431672e-01   4.90469346e+02
    20       2   1.69494952e-02   1.52960675e+02
    20       3   3.59294277e-06   8.44916237e-03
    20       4   7.54259926e-11   1.40310946e-07
    20       5   3.88579171e-15   1.48431198e-11
