  TimeWindow  TotalIterations  Iterations  Convergence
     1       3       3       1
     2       6       3       1
     3       9       3       1
     4      12       3       1
     5      15       3       1
     6      18       3       1
     7      21       3       1
     8      24       3       1
     9      27       3       1
    10      30       3       1
    11      33       3       1
    12      36       3       1
    13      39       3       1
    14      42       3       1
    15      45       3       1
    16      48       3       1
    17      51       3       1
    18      54       3       1
    19      57       3       1
    20      61       4       1
    21      64       3       1
    22      67       3       1
    23      70       3       1
    24      73       3       1
    25      76       3       1
    26      79       3       1
    27      82       3       1
    28      85       3       1
    29      88       3       1
    30      91       3       1
    31      94       3       1
    32      97       3       1
    33     100       3       1
    34     103       3       1
    35     106       3       1
    36     109       3       1
    37     112       3       1
    38     115       3       1
    39     118       3       1
    40     122       4       1
    41     125       3       1
    42     128       3       1
    43     131       3       1
    44     134       3       1
    45     137       3       1
    46     140       3       1
    47     143       3       1
    48     146       3       1
    49     149       3       1
    50     152       3       1
    51     155       3       1
    52     158       3       1
    53     161       3       1
    54     164       3       1
    55     167       3       1
    56     170       3       1
    57     173       3       1
    58     176       3       1
    59     179       3       1
    60     183       4       1
    61     186       3       1
    62     189       3       1
    63     192       3       1
    64     195       3       1
    65     198       3       1
    66     201       3       1
    67     204       3       1
    68     207       3       1
    69     210       3       1
    70     213       3       1
    71     216       3       1
    72     219       3       1
    73     222       3       1
    74     225       3       1
    75     228       3       1
    76     231       3       1
    77     234       3       1
    78     237       3       1
    79     240       3       1
    80     244       4       1
    81     247       3       1
    82     250       3       1
    83     253       3       1
    84     256       3       1
    85     259       3       1
    86     262       3       1
    87     265       3       1
    88     268       3       1
    89     271       3       1
    90     274       3       1
    91     277       3       1
    92     280       3       1
    93     283       3       1
    94     286       3       1
    95     289       3       1
    96     292       3       1
    97     295       3       1
    98     298       3       1
    99     301       3       1
   100     305       4       1
   101     308       3       1
   102     311       3       1
   103     314       3       1
   104     317       3       1
   105     320       3       1
   106     323       3       1
   107     326       3       1
   108     329       3       1
   109     332       3       1
   110     335       3       1
   111     338       3       1
   112     341       3       1
   113     344       3       1
   114     347       3       1
   115     350       3       1
   116     353       3       1
   117     356       3       1
   118     359       3       1
   119     362       3       1
   120     367       5       1
   121     370       3       1
   122     373       3       1
   123     376       3       1
   124     379       3       1
   125     382       3       1
   126     385       3       1
   127     388       3       1
   128     391       3       1
   129     394       3       1
   130     397       3       1
   131     400       3       1
   132     403       3       1
   133     406       3       1
   134     409       3       1
   135     412       3       1
   136     415       3       1
   137     418       3       1
   138     421       3       1
   139     424       3       1
   140     428       4       1
   141     431       3       1
   142     434       3       1
   143     437       3       1
   144     440       3       1
   145     443       3       1
   146     446       3       1
   147     449       3       1
   148     452       3       1
   149     455       3       1
   150     458       3       1
   151     461       3       1
   152     464       3       1
   153     467       3       1
   154     470       3       1
   155     473       3       1
   156     476       3       1
   157     479       3       1
   158     482       3       1
   159     485       3       1
   160     489       4       1
