  TimeWindow  TotalIterations  Iterations  Convergence
     1       3       3       1
     2       7       4       1
     3      11       4       1
     4      15       4       1
     5      19       4       1
     6      23       4       1
     7      27       4       1
     8      32       5       1
     9      36       4       1
    10      40       4       1
    11      44       4       1
    12      48       4       1
    13      52       4       1
    14      56       4       1
    15      60       4       1
    16      64       4       1
    17      68       4       1
    18      72       4       1
    19      76       4       1
    20      80       4       1
    21      84       4       1
    22      88       4       1
    23      92       4       1
    24      96       4       1
    25     100       4       1
    26     104       4       1
    27     108       4       1
    28     112       4       1
    29     116       4       1
    30     120       4       1
    31     124       4       1
    32     128       4       1
    33     131       3       1
    34     135       4       1
    35     139       4       1
    36     143       4       1
    37     147       4       1
    38     151       4       1
    39     155       4       1
    40     159       4       1
    41     163       4       1
    42     167       4       1
    43     171       4       1
    44     175       4       1
    45     179       4       1
    46     183       4       1
    47     187       4       1
    48     191       4       1
    49     195       4       1
    50     199       4       1
    51     203       4       1
    52     207       4       1
    53     211       4       1
    54     215       4       1
    55     219       4       1
    56     223       4       1
    57     227       4       1
    58     231       4       1
    59     235       4       1
    60     239       4       1
    61     243       4       1
    62     247       4       1
    63     251       4       1
    64     255       4       1
