  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   1.04729335e-05   6.99819447e-07
     1       3   1.64937286e-12   4.51882041e-14
     2       1   3.04536395e-02   7.47514485e-01
     2       2   5.34181039e-05   1.21751417e-06
     2       3   1.43701725e-11   1.15317950e-13
     3       1   5.22638769e-02   5.48140179e-01
     3       2   9.88401634e-05   9.98777241e-07
     3       3   2.78558757e-11   8.91259487e-14
     4       1   7.61884465e-02   4.24244306e-01
     4       2   1.48032932e-04   8.10654005e-07
     4       3   4.24950979e-11   6.25506877e-14
     5       1   1.03359804e-01   3.40397364e-01
     5       2   2.02806740e-04   6.68935080e-07
     5       3   5.88344523e-11   4.69125232e-14
     6       1   1.35512925e-01   2.79219307e-01
     6       2   2.65908191e-04   5.59711972e-07
     6       3   7.77045544e-11   7.00503701e-14
     7       1   1.75552259e-01   2.31871893e-01
     7       2   3.41881122e-04   4.72276076e-07
     7       3   1.00483583e-10   4.14555661e-14
     7       4   0.00000000e+00   0.00000000e+00
     8       1   2.28865064e-01   1.93455020e-01
     8       2   4.39057205e-04   3.99663334e-07
     8       3   1.29700612e-10   2.64756673e-14
     8       4   0.00000000e+00   0.00000000e+00
     9       1   3.06876998e-01   1.61030271e-01
     9       2   5.74934573e-04   3.37315065e-07
     9       3   1.70670092e-10   1.68309513e-14
     9       4   0.00000000e+00   0.00000000e+00
    10       1   4.39133320e-01   1.32708542e-01
    10       2   7.94424181e-04   2.82125797e-07
    10       3   2.37040368e-10   1.13203832e-14
    10       4   0.00000000e+00   0.00000000e+00
    11       1   7.33732698e-01   1.07191850e-01
    11       2   1.26099076e-03   2.31867198e-07
    11       3   3.78497782e-10   9.92961349e-15
    11       4   0.00000000e+00   0.00000000e+00
    12       1   2.16521662e+00   8.35233207e-02
    12       2   3.44110135e-03   1.84835270e-07
    12       3   1.04083179e-09   1.43004047e-14
    12       4   0.00000000e+00   0.00000000e+00
    13       1   2.06176489e+00   6.09375193e-02
    13       2   2.92395505e-03   1.39620985e-07
    13       3   8.94548845e-10   4.73066045e-15
    13       4   0.00000000e+00   0.00000000e+00
    14       1   6.40393734e-01   3.87588531e-02
    14       2   7.33382249e-04   9.49417460e-08
    14       3   2.29124665e-10   6.89430120e-15
    14       4   0.00000000e+00   0.00000000e+00
    15       1   3.42572654e-01   1.63183559e-02
    15       2   2.44912191e-04   4.94920734e-08
    15       3   8.11953645e-11   1.24092459e-14
    16       1   2.03847162e-01   7.13368937e-03
    16       2   9.78211438e-06   1.77655025e-09
    16       3   4.42335109e-12   0.00000000e+00
    17       1   1.16014230e-01   3.25457205e-02
    17       2   1.97555917e-04   5.01264965e-08
    17       3   5.18802031e-11   1.50052549e-16
    18       1   4.85264442e-02   6.12589590e-02
    18       2   3.69088570e-04   1.08960388e-07
    18       3   1.03067097e-10   1.09878794e-14
    18       4   0.00000000e+00   0.00000000e+00
    19       1   1.19262176e-02   9.53766658e-02
    19       2   5.51871637e-04   1.79050291e-07
    19       3   1.57405850e-10   9.41937563e-15
    19       4   0.00000000e+00   0.00000000e+00
    20       1   7.42341402e-02   1.38561438e-01
    20       2   7.72571047e-04   2.67947742e-07
    20       3   2.22841584e-10   2.99889936e-14
    20       4   0.00000000e+00   0.00000000e+00
    21       1   1.48395324e-01   1.98015568e-01
    21       2   1.07273630e-03   3.90521607e-07
    21       3   3.11686971e-10   2.67670245e-14
    21       4   0.00000000e+00   0.00000000e+00
    22       1   2.52791347e-01   2.90409999e-01
    22       2   1.54182023e-03   5.81205217e-07
    22       3   4.50392474e-10   4.83566387e-14
    22       4   0.00000000e+00   0.00000000e+00
    23       1   4.38672999e-01   4.65586820e-01
