  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   1.71643907e-04   1.12539210e-05
     1       3   4.32941819e-10   1.17371264e-11
     1       4   1.15534429e-16   0.00000000e+00
     2       1   1.33212047e-01   7.39834481e-01
     2       2   9.33142757e-04   1.96428619e-05
     2       3   4.04355355e-09   2.64172746e-11
     2       4   2.35445102e-15   0.00000000e+00
     3       1   2.54689260e-01   5.24564174e-01
     3       2   1.91069919e-03   1.58233872e-05
     3       3   8.72097377e-09   2.20248276e-11
     3       4   7.37114995e-15   0.00000000e+00
     4       1   4.48381059e-01   3.80462989e-01
     4       2   3.39311566e-03   1.22720129e-05
     4       3   1.58801046e-08   1.38643391e-11
     4       4   1.41866775e-15   0.00000000e+00
     5       1   8.90557535e-01   2.72362283e-01
     5       2   6.54021168e-03   9.29193365e-06
     5       3   3.12222715e-08   1.49106919e-11
     5       4   4.04120624e-14   0.00000000e+00
     6       1   4.63478978e+00   1.81756867e-01
     6       2   3.07045837e-02   6.64181182e-06
     6       3   1.49986549e-07   1.35652004e-11
     6       4   2.05562146e-13   0.00000000e+00
     7       1   1.38027006e+00   9.73307520e-02
     7       2   7.77024953e-03   4.07836930e-06
     7       3   3.95747094e-08   1.12288856e-12
     7       4   3.60187657e-14   0.00000000e+00
     8       1   4.77067236e-01   9.29937692e-03
     8       2   1.14980974e-03   1.33617612e-06
     8       3   7.24765934e-09   3.02866941e-12
     8       4   5.10965225e-15   0.00000000e+00
     9       1   1.57820019e-01   9.57970739e-02
     9       2   1.86135584e-03   1.99647835e-06
     9       3   7.20709115e-09   1.75630710e-12
     9       4   1.43174564e-15   0.00000000e+00
    10       1   9.11609892e-02   2.47146939e-01
    10       2   5.08963608e-03   6.85321254e-06
    10       3   2.24909615e-08   1.13630476e-11
    10       4   1.50990464e-14   0.00000000e+00
    11       1   4.51071314e-01   5.45910673e-01
    11       2   1.11139572e-02   1.65075574e-05
    11       3   5.08233396e-08   1.96441978e-11
    11       4   2.85166577e-14   0.00000000e+00
    12       1   1.90912475e+00   1.89066693e+00
    12       2   3.86402429e-02   6.00976549e-05
    12       3   1.80028201e-07   7.45781739e-11
    12       4   4.55572094e-14   0.00000000e+00
    13       1   1.95962942e+00   2.00007092e+00
    13       2   4.20731980e-02   6.60794078e-05
    13       3   1.98786331e-07   8.56476450e-11
    13       4   5.94808172e-14   0.00000000e+00
    14       1   6.47594268e-01   6.54073255e-01
    14       2   1.46294613e-02   2.24337683e-05
    14       3   7.00338999e-08   2.68262121e-11
    14       4   2.46932255e-14   0.00000000e+00
    15       1   3.09189527e-01   3.53135062e-01
    15       2   8.80157263e-03   1.26613389e-05
    15       3   4.27750336e-08   1.26569530e-11
    15       4   4.66294290e-15   0.00000000e+00
    16       1   8.43332549e-02   1.98169563e-01
    16       2   5.98045127e-03   7.60686224e-06
    16       3   2.97162427e-08   1.33383206e-11
    16       4   2.12716480e-14   0.00000000e+00
    17       1   1.84958944e-01   8.74207229e-02
    17       2   3.92350461e-03   3.96479405e-06
    17       3   2.04765571e-08   5.00462206e-12
    17       4   6.69120641e-15   0.00000000e+00
    18       1   9.08261154e-01   9.38853255e-03
    18       2   9.59410422e-04   7.41954438e-07
    18       3   8.13193745e-09   1.96208433e-12
    18       4   1.11541699e-14   0.00000000e+00
    19       1   3.57491751e+00   1.07826882e-01
    19       2   1.34166705e-02   2.58876978e-06
    19       3   5.54984310e-08   2.46096271e-12
    19       4   8.03458195e-15   0.00000000e+00
    20       1   8.17781641e-01   2.22130441e-01
    20       2   4.77987988e-03   6.53661560e-06
    20       3   2.15983072e-08   1.45722639e-11
    20       4   3.27515978e-14   0.00000000e+00
    21       1   4.69329720e-01   3.74306187e-01
    21       2   3.30890643e-03   1.19302763e-05
    21       3   1.54166337e-08   1.35223270e-11
    21       4   7.56623604e-15   0.00000000e+00
    22       1   3.08903988e-01   6.14094079e-01
    22       2   2.43154448e-03   2.07215691e-05
    22       3   1.15643378e-08   3.00673342e-11
    22       4   9.82820654e-15   0.00000000e+00
    23       1   2.02848377e-01   1.10328123e+00
    23       2   1.73621708e-03   3.95413055e-05
    23       3   8.42946547e-09   6.68054968e-11
    23       4   1.07258369e-14   0.00000000e+00
    24       1   1.17705939e-01   2.84333821e+00
    24       2   1.10774835e-03   1.12198042e-04
    24       3   5.54589067e-09   1.44446446e-10
    24       4   1.73301682e-15   0.00000000e+00
    25       1   3.95231770e-02   1.78711244e+04
    25       2   4.87897856e-04   4.55593337e+01
    25       3   2.66493672e-09   6.37241783e-05
    25       4   9.99200767e-16   5.19953111e-13
    26       1   4.08200770e-02   9.99998798e-01
    26       2   1.71642208e-04   1.12538014e-05
    26       3   4.32934017e-10   1.28411503e-11
    26       4   3.46603238e-16   0.00000000e+00
    27       1   1.33211804e-01   7.39834897e-01
    27       2   9.33140676e-04   1.96428693e-05
    27       3   4.04354518e-09   2.06974225e-11
    27       4   6.54013941e-16   0.00000000e+00
    28       1   2.54688912e-01   5.24564511e-01
    28       2   1.91069631e-03   1.58233970e-05
    28       3   8.72095223e-09   2.55767142e-11
    28       4   1.42508809e-14   0.00000000e+00
    29       1   4.48380431e-01   3.80463247e-01
    29       2   3.39311079e-03   1.22720132e-05
    29       3   1.58800456e-08   1.51712106e-11
    29       4   2.48266593e-15   0.00000000e+00
