  TimeWindow  TotalIterations  Iterations  Convergence
     1       5       5       1
     2      11       6       1
     3      16       5       1
     4      22       6       1
     5      27       5       1
     6      32       5       1
     7      37       5       1
     8      42       5       1
     9      47       5       1
    10      52       5       1
    11      57       5       1
    12      62       5       1
    13      67       5       1
    14      72       5       1
    15      77       5       1
    16      82       5       1
