  TimeWindow  TotalIterations  Iterations  Convergence
     1       3       3       1
     2       6       3       1
     3       9       3       1
     4      12       3       1
     5      15       3       1
     6      18       3       1
     7      21       3       1
     8      24       3       1
     9      27       3       1
    10      30       3       1
    11      33       3       1
    12      36       3       1
    13      39       3       1
    14      42       3       1
    15      45       3       1
    16      48       3       1
    17      51       3       1
    18      54       3       1
    19      57       3       1
    20      60       3       1
    21      63       3       1
    22      66       3       1
    23      69       3       1
    24      72       3       1
    25      76       4       1
    26      79       3       1
    27      82       3       1
    28      85       3       1
    29      88       3       1
    30      91       3       1
    31      94       3       1
    32      97       3       1
    33     100       3       1
    34     103       3       1
    35     106       3       1
    36     109       3       1
    37     112       3       1
    38     115       3       1
    39     118       3       1
    40     121       3       1
    41     124       3       1
    42     127       3       1
    43     130       3       1
    44     133       3       1
    45     136       3       1
    46     139       3       1
    47     142       3       1
    48     145       3       1
    49     149       4       1
    50     153       4       1
    51     157       4       1
    52     160       3       1
    53     163       3       1
    54     166       3       1
    55     169       3       1
    56     172       3       1
    57     175       3       1
    58     178       3       1
    59     181       3       1
    60     184       3       1
    61     187       3       1
    62     190       3       1
    63     193       3       1
    64     196       3       1
    65     199       3       1
    66     202       3       1
    67     205       3       1
    68     208       3       1
    69     211       3       1
    70     214       3       1
    71     217       3       1
    72     220       3       1
    73     223       3       1
    74     226       3       1
    75     230       4       1
    76     233       3       1
    77     236       3       1
    78     239       3       1
    79     242       3       1
    80     245       3       1
    81     248       3       1
    82     251       3       1
    83     254       3       1
    84     257       3       1
    85     260       3       1
    86     263       3       1
    87     266       3       1
    88     269       3       1
    89     272       3       1
    90     275       3       1
    91     278       3       1
    92     281       3       1
    93     284       3       1
    94     287       3       1
    95     290       3       1
    96     293       3       1
    97     296       3       1
    98     299       3       1
    99     302       3       1
   100     306       4       1
   101     309       3       1
   102     312       3       1
   103     315       3       1
   104     318       3       1
   105     321       3       1
   106     324       3       1
   107     327       3       1
   108     330       3       1
   109     333       3       1
   110     336       3       1
   111     339       3       1
   112     342       3       1
   113     345       3       1
   114     348       3       1
   115     351       3       1
   116     354       3       1
   117     357       3       1
   118     360       3       1
   119     363       3       1
   120     366       3       1
   121     369       3       1
   122     372       3       1
   123     375       3       1
   124     378       3       1
   125     382       4       1
   126     385       3       1
   127     388       3       1
   128     391       3       1
   129     394       3       1
   130     397       3       1
   131     400       3       1
   132     403       3       1
   133     406       3       1
   134     409       3       1
   135     412       3       1
   136     415       3       1
   137     418       3       1
   138     421       3       1
   139     424       3       1
   140     427       3       1
   141     430       3       1
   142     433       3       1
   143     436       3       1
   144     439       3       1
   145     442       3       1
   146     445       3       1
   147     448       3       1
   148     451       3       1
   149     455       4       1
   150     459       4       1
   151     463       4       1
   152     466       3       1
   153     469       3       1
   154     472       3       1
   155     475       3       1
   156     478       3       1
   157     481       3       1
   158     484       3       1
   159     487       3       1
   160     490       3       1
   161     493       3       1
   162     496       3       1
   163     499       3       1
   164     502       3       1
   165     505       3       1
   166     508       3       1
   167     511       3       1
   168     514       3       1
   169     517       3       1
   170     520       3       1
   171     523       3       1
   172     526       3       1
   173     529       3       1
   174     532       3       1
   175     536       4       1
   176     539       3       1
   177     542       3       1
   178     545       3       1
   179     548       3       1
   180     551       3       1
   181     554       3       1
   182     557       3       1
   183     560       3       1
   184     563       3       1
   185     566       3       1
   186     569       3       1
   187     572       3       1
   188     575       3       1
   189     578       3       1
   190     581       3       1
   191     584       3       1
   192     587       3       1
   193     590       3       1
   194     593       3       1
   195     596       3       1
   196     599       3       1
   197     602       3       1
   198     605       3       1
   199     608       3       1
   200     612       4       1
