  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   8.03083959e-03   4.54160640e-04
     1       3   7.62194749e-07   1.42617036e-08
     1       4   1.01436755e-11   8.38922808e-14
     2       1   2.39906599e+00   6.74814718e-01
     2       2   9.45356006e-02   8.16908912e-04
     2       3   1.69641123e-05   4.12639289e-08
     2       4   3.28757153e-10   3.39610961e-13
     2       5   6.66133181e-16   0.00000000e+00
     3       1   2.24724929e+00   2.73077558e-01
     3       2   1.03511433e-01   5.23096282e-04
     3       3   2.16195277e-05   2.85761051e-08
     3       4   4.39590918e-10   5.25227914e-14
     3       5   2.13932784e-15   0.00000000e+00
     4       1   2.54729532e-01   3.76196583e-01
     4       2   2.51292282e-02   1.33396926e-04
     4       3   1.87723609e-06   3.25140855e-09
     4       4   1.90394027e-11   8.55976993e-14
     5       1   8.70939985e+00   9.11291827e+02
     5       2   6.63004304e+03   4.71015310e+02
     5       3   7.76897388e+00   2.39171798e-02
     5       4   1.48915777e-04   2.43664872e-07
     5       5   1.08514677e-09   1.33616378e-15
     5       6   0.00000000e+00   0.00000000e+00
     6       1   1.00000250e+00   1.00000227e+00
     6       2   1.55769270e-01   1.40239125e-03
     6       3   2.97669519e-05   7.33978149e-08
     6       4   5.90285225e-10   5.70388248e-13
     6       5   2.33147039e-15   0.00000000e+00
     7       1   2.35867453e-01   2.73029402e-01
     7       2   1.13662534e-01   5.90786712e-04
     7       3   2.47657887e-05   3.30154836e-08
     7       4   5.10685555e-10   3.78048575e-13
     7       5   2.81167223e-14   8.75860629e-14
     8       1   1.70423883e+00   3.76096929e-01
     8       2   3.16805641e-02   2.04967136e-04
     8       3   3.49608660e-06   7.35972726e-09
     8       4   5.25671367e-11   5.97793027e-14
     9       1   6.85071070e-01   2.06960821e+00
     9       2   3.17121387e-02   2.62551573e-03
     9       3   5.78989956e-06   1.33871847e-07
     9       4   1.12873271e-10   1.30116019e-12
     9       5   2.88587290e-16   0.00000000e+00
    10       1   2.43406098e-01   4.93436348e+02
    10       2   1.69477548e-02   6.41129615e+03
    10       3   3.60542251e-06   5.47110917e-01
    10       4   7.37565597e-11   4.98601495e-06
    10       5   3.33066922e-16   1.71196454e-11
    11       1   3.10198395e-01   9.99999796e-01
    11       2   8.03068388e-03   4.54152441e-04
    11       3   7.62166544e-07   1.42610794e-08
    11       4   1.01427868e-11   2.37773084e-13
    12       1   2.39904012e+00   6.74816351e-01
    12       2   9.45346174e-02   8.16909615e-04
    12       3   1.69639250e-05   4.12653249e-08
    12       4   3.28852187e-10   3.95419522e-13
    12       5   8.88169775e-16   0.00000000e+00
    13       1   2.24726637e+00   2.73079421e-01
    13       2   1.03512405e-01   5.23097993e-04
    13       3   2.16197101e-05   2.85759551e-08
    13       4   4.39637475e-10   2.36064053e-13
    13       5   2.44496027e-15   0.00000000e+00
    14       1   2.54736273e-01   3.76192173e-01
    14       2   2.51286680e-02   1.33392190e-04
    14       3   1.87713957e-06   3.24920703e-09
    14       4   1.89221127e-11   1.78741782e-15
    15       1   8.70979588e+00   9.07608878e+02
    15       2   9.55732083e+03   1.61528636e+02
    15       3   2.52794059e+00   8.07504372e-03
    15       4   4.84486228e-05   6.87480481e-08
    15       5   1.93753653e-10   2.25565880e-16
    15       6   0.00000000e+00   0.00000000e+00
    16       1   1.00000768e+00   1.00000673e+00
    16       2   1.55769831e-01   1.40239604e-03
    16       3   2.97670480e-05   7.33982320e-08
    16       4   5.90287843e-10   7.45359858e-13
    16       5   2.88659084e-15   0.00000000e+00
    17       1   2.35857161e-01   2.73031745e-01
    17       2   1.13662540e-01   5.90789374e-04
    17       3   2.47657646e-05   3.30166050e-08
    17       4   5.10864337e-10   2.00712003e-13
    17       5   4.58422348e-16   0.00000000e+00
    18       1   1.70424886e+00   3.76093337e-01
    18       2   3.16804052e-02   2.04962531e-04
    18       3   3.49603050e-06   7.35810264e-09
    18       4   5.24625655e-11   1.14593221e-13
    19       1   6.85073092e-01   2.06959200e+00
    19       2   3.17121865e-02   2.62549115e-03
    19       3   5.78990486e-06   1.33872486e-07
    19       4   1.12874255e-10   9.13020415e-13
    19       5   2.88587963e-16   0.00000000e+00
    20       1   2.43407886e-01   4.93388582e+02
    20       2   1.69478345e-02   3.89385891e+03
    20       3   3.60543573e-06   2.73517857e-01
    20       4   7.37372451e-11   2.53585626e-06
    20       5   2.22044625e-16   5.89648112e-15
