  TimeWindow  TotalIterations  Iterations  Convergence
     1       4       4       1
     2       7       3       1
     3      10       3       1
     4      13       3       1
     5      16       3       1
     6      19       3       1
     7      22       3       1
     8      25       3       1
     9      28       3       1
    10      31       3       1
    11      34       3       1
    12      37       3       1
    13      40       3       1
    14      43       3       1
    15      46       3       1
    16      49       3       1
    17      52       3       1
    18      55       3       1
    19      58       3       1
    20      61       3       1
    21      64       3       1
    22      67       3       1
    23      70       3       1
    24      74       4       1
    25      78       4       1
    26      81       3       1
    27      84       3       1
    28      87       3       1
    29      90       3       1
    30      93       3       1
    31      96       3       1
    32      99       3       1
    33     102       3       1
    34     105       3       1
    35     108       3       1
    36     111       3       1
    37     114       3       1
    38     117       3       1
    39     120       3       1
    40     123       3       1
    41     126       3       1
    42     129       3       1
    43     132       3       1
    44     135       3       1
    45     138       3       1
    46     141       3       1
    47     144       3       1
    48     147       3       1
    49     150       3       1
    50     154       4       1
    51     157       3       1
    52     160       3       1
    53     163       3       1
    54     166       3       1
    55     169       3       1
    56     172       3       1
    57     175       3       1
    58     178       3       1
    59     181       3       1
    60     184       3       1
    61     187       3       1
    62     190       3       1
    63     194       4       1
    64     197       3       1
    65     200       3       1
    66     203       3       1
    67     206       3       1
    68     209       3       1
    69     212       3       1
    70     215       3       1
    71     218       3       1
    72     221       3       1
    73     224       3       1
    74     227       3       1
    75     231       4       1
    76     234       3       1
    77     237       3       1
    78     240       3       1
    79     243       3       1
    80     246       3       1
    81     249       3       1
    82     252       3       1
    83     255       3       1
    84     258       3       1
    85     261       3       1
    86     264       3       1
    87     267       3       1
    88     270       3       1
    89     273       3       1
    90     276       3       1
    91     279       3       1
    92     282       3       1
    93     285       3       1
    94     288       3       1
    95     291       3       1
    96     294       3       1
    97     297       3       1
    98     300       3       1
    99     303       3       1
   100     307       4       1
