  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       4       4       1       2       1       0
     2       8       4       1       5       0       0
     3      11       3       1       6       1       0
     4      14       3       1       6       2       0
     5      18       4       1       5       4       0
     6      22       4       1       6       2       0
     7      26       4       1       7       2       0
     8      30       4       1       8       2       0
     9      33       3       1       8       2       0
    10      36       3       1       8       2       0
    11      39       3       1       9       1       0
    12      43       4       1       9       3       0
    13      47       4       1      10       2       0
    14      51       4       1      10       3       0
    15      55       4       1      10       3       0
    16      59       4       1      11       2       0
    17      63       4       1      11       3       0
    18      67       4       1      13       1       0
    19      70       3       1      13       2       0
    20      73       3       1      13       2       0
    21      76       3       1      14       1       0
    22      79       3       1      14       2       0
    23      82       3       1      14       2       0
    24      85       3       1      14       2       0
    25      89       4       1      14       3       0
    26      92       3       1      14       2       0
    27      95       3       1      14       2       0
    28      98       3       1      14       2       0
    29     101       3       1      14       2       0
    30     104       3       1      14       2       0
    31     108       4       1      13       4       0
    32     112       4       1      14       2       0
    33     116       4       1      15       2       0
    34     119       3       1      15       2       0
    35     122       3       1      16       1       0
    36     125       3       1      16       2       0
    37     129       4       1      15       4       0
    38     133       4       1      16       2       0
    39     137       4       1      16       3       0
    40     141       4       1      17       2       0
    41     145       4       1      17       3       0
    42     149       4       1      18       2       0
    43     153       4       1      19       2       0
    44     156       3       1      18       3       0
    45     159       3       1      18       1       1
    46     162       3       1      18       2       0
    47     165       3       1      17       2       1
    48     168       3       1      16       3       0
    49     171       3       1      17       1       0
    50     175       4       1      17       3       0
