  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   5.49271343e-01   6.03517753e-01
     1       3   1.45744673e+00   2.03613246e-02
     1       4   6.65296751e-03   5.36046697e-05
     1       5   1.94901605e-05   1.70834220e-07
     1       6   6.32628170e-08   1.43325498e-11
     1       7   7.59479941e-12   7.15167759e-13
     2       1   1.21448685e+00   9.14490100e+00
     2       2   6.40497244e+00   3.64165667e-01
     2       3   1.29139402e-01   4.03408169e-02
     2       4   9.28335586e-03   1.01739300e-03
     2       5   2.03083409e-04   2.58418056e-06
     2       6   5.91429905e-07   4.44813167e-10
     2       7   1.04707862e-10   2.00747214e-12
     2       8   2.55242324e-13   9.52893879e-13
     3       1   7.17267715e-01   3.40981666e-01
     3       2   2.52005103e+00   2.04971151e-02
     3       3   4.76323130e-03   7.85614222e-05
     3       4   1.01590155e-05   4.36804478e-06
     3       5   9.35047326e-07   1.88559486e-08
     3       6   1.57114237e-09   9.27001768e-12
     3       7   2.28126312e-12   5.63835380e-13
     4       1   3.47480633e-01   1.85004473e+00
     4       2   5.29052041e-01   1.15074861e-02
     4       3   1.00975216e-04   1.08182073e-02
     4       4   1.94269839e-03   1.99823475e-03
     4       5   4.41071504e-04   3.03251572e-08
     4       6   1.00033495e-08   7.10632111e-11
     4       7   2.08719469e-11   1.66032756e-13
     5       1   1.23871295e+00   6.23779552e+00
     5       2   4.94269716e-02   2.19542269e+02
     5       3   1.95834511e-03   2.37879181e+02
     5       4   8.87087793e-05   2.48038250e+01
     5       5   2.31084039e-07   5.57018379e-02
     5       6   5.61321151e-10   9.19278774e-05
     5       7   1.10034214e-12   2.22907111e-06
     5       8   1.11022312e-15   5.37532317e-07
     5       9   3.10862475e-15   3.22439951e-09
     5      10   0.00000000e+00   1.33214709e-10
     5      11   0.00000000e+00   1.28851575e-11
