  TimeWindow  TotalIterations  Iterations  Convergence
     1       4       4       1
     2       7       3       1
     3      10       3       1
     4      13       3       1
     5      16       3       1
     6      19       3       1
     7      22       3       1
     8      25       3       1
     9      28       3       1
    10      31       3       1
    11      34       3       1
    12      37       3       1
    13      40       3       1
    14      43       3       1
    15      46       3       1
    16      49       3       1
    17      52       3       1
    18      55       3       1
    19      58       3       1
    20      61       3       1
    21      64       3       1
    22      67       3       1
    23      70       3       1
    24      73       3       1
    25      77       4       1
    26      80       3       1
    27      84       4       1
    28      87       3       1
    29      91       4       1
    30      94       3       1
    31      97       3       1
    32     100       3       1
    33     103       3       1
    34     106       3       1
    35     109       3       1
    36     112       3       1
    37     116       4       1
    38     120       4       1
    39     123       3       1
    40     126       3       1
    41     129       3       1
    42     132       3       1
    43     135       3       1
    44     138       3       1
    45     141       3       1
    46     144       3       1
    47     147       3       1
    48     150       3       1
    49     153       3       1
    50     157       4       1
    51     160       3       1
    52     163       3       1
    53     166       3       1
    54     169       3       1
    55     172       3       1
    56     175       3       1
    57     178       3       1
    58     181       3       1
    59     184       3       1
    60     187       3       1
    61     190       3       1
    62     194       4       1
    63     197       3       1
    64     200       3       1
    65     203       3       1
    66     206       3       1
    67     209       3       1
    68     212       3       1
    69     215       3       1
    70     218       3       1
    71     221       3       1
    72     224       3       1
    73     227       3       1
    74     230       3       1
    75     234       4       1
    76     237       3       1
    77     240       3       1
    78     243       3       1
    79     246       3       1
    80     249       3       1
    81     252       3       1
    82     255       3       1
    83     258       3       1
    84     261       3       1
    85     264       3       1
    86     267       3       1
    87     271       4       1
    88     275       4       1
    89     278       3       1
    90     281       3       1
    91     284       3       1
    92     287       3       1
    93     290       3       1
    94     293       3       1
    95     296       3       1
    96     299       3       1
    97     302       3       1
    98     305       3       1
    99     308       3       1
   100     312       4       1
