  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   5.23697388e-06   5.00000109e-01
     1       3   5.23694271e-06   3.28661168e-13
     1       4   0.00000000e+00   0.00000000e+00
     2       1   3.04536299e-02   7.47514542e-01
     2       2   5.34224301e-05   9.78828022e-07
     2       3   4.28898461e-12   1.48655364e-12
     3       1   5.22638582e-02   5.48140257e-01
     3       2   9.88480441e-05   9.32256304e-07
     3       3   3.64560500e-13   1.49582557e-12
     4       1   7.61884154e-02   4.24244382e-01
     4       2   1.48044665e-04   7.16176215e-07
     4       3   5.43616584e-13   1.20213029e-12
     5       1   1.03359754e-01   3.40397433e-01
     5       2   2.02822764e-04   5.88791750e-07
     5       3   1.64927256e-12   1.02657330e-12
     6       1   1.35512848e-01   2.79219366e-01
     6       2   2.65929150e-04   4.97180824e-07
     6       3   2.65476071e-12   8.32453074e-13
     7       1   1.75552134e-01   2.31871942e-01
     7       2   3.41908031e-04   3.95279106e-07
     7       3   3.68528857e-12   7.33508971e-13
     8       1   2.28864853e-01   1.93455058e-01
     8       2   4.39091680e-04   3.64253385e-07
     8       3   2.08006281e-11   6.49881458e-13
     9       1   3.06876608e-01   1.61030300e-01
     9       2   5.74979611e-04   2.91647835e-07
     9       3   2.66855286e-11   5.50497522e-13
    10       1   4.39132480e-01   1.32708560e-01
    10       2   7.94486115e-04   2.54389703e-07
    10       3   3.45461193e-11   4.57978579e-13
    11       1   7.33730168e-01   1.07191858e-01
    11       2   1.26108769e-03   1.96717682e-07
    11       3   1.19234839e-11   3.56047244e-13
    12       1   2.16519222e+00   8.35233169e-02
    12       2   3.44134105e-03   1.55085183e-07
    12       3   3.28361959e-11   2.88445409e-13
    13       1   2.06179011e+00   6.09375032e-02
    13       2   2.92423268e-03   1.17799848e-07
    13       3   3.38800100e-11   2.19288818e-13
    14       1   6.40396612e-01   3.87588231e-02
    14       2   7.33447996e-04   7.79394863e-08
    14       3   6.43787485e-11   1.39206099e-13
    15       1   3.42573681e-01   1.63183097e-02
    15       2   2.44935896e-04   3.81136143e-08
    15       3   1.55515198e-11   1.00283948e-13
    16       1   2.03847655e-01   7.13375521e-03
    16       2   9.77946911e-06   3.26269023e-09
    16       3   1.83494351e-11   4.50500693e-15
    17       1   1.16014488e-01   3.25458113e-02
    17       2   1.97568365e-04   9.47189610e-09
