  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       4       4       1       2       1       0
     2       7       3       1       2       2       0
     3      10       3       1       2       2       0
     4      13       3       1       2       2       0
     5      16       3       1       2       2       0
     6      19       3       1       2       2       0
     7      22       3       1       2       2       0
     8      25       3       1       2       2       0
     9      28       3       1       2       2       0
    10      31       3       1       2       2       0
    11      34       3       1       2       2       0
    12      37       3       1       2       2       0
    13      40       3       1       2       2       0
    14      43       3       1       2       2       0
    15      46       3       1       2       2       0
    16      49       3       1       2       2       0
    17      52       3       1       2       2       0
    18      55       3       1       2       2       0
    19      58       3       1       2       2       0
    20      61       3       1       2       2       0
    21      64       3       1       2       2       0
    22      67       3       1       2       2       0
    23      70       3       1       2       2       0
    24      73       3       1       2       2       0
    25      77       4       1       2       3       0
    26      80       3       1       2       2       0
    27      84       4       1       2       3       0
    28      87       3       1       2       2       0
    29      91       4       1       2       3       0
    30      94       3       1       2       2       0
    31      97       3       1       2       2       0
    32     100       3       1       2       2       0
    33     103       3       1       2       2       0
    34     106       3       1       2       2       0
    35     109       3       1       2       2       0
    36     112       3       1       2       2       0
    37     116       4       1       2       3       0
    38     120       4       1       2       3       0
    39     123       3       1       2       2       0
    40     126       3       1       2       2       0
    41     129       3       1       2       2       0
    42     132       3       1       2       2       0
    43     135       3       1       2       2       0
    44     138       3       1       2       2       0
    45     141       3       1       2       2       0
    46     144       3       1       2       2       0
    47     147       3       1       2       2       0
    48     150       3       1       2       2       0
    49     153       3       1       2       2       0
    50     157       4       1       2       3       0
    51     160       3       1       2       2       0
    52     163       3       1       2       2       0
    53     166       3       1       2       2       0
    54     169       3       1       2       2       0
    55     172       3       1       2       2       0
    56     175       3       1       2       2       0
    57     178       3       1       2       2       0
    58     181       3       1       2       2       0
    59     184       3       1       2       2       0
    60     187       3       1       2       2       0
    61     190       3       1       2       2       0
    62     194       4       1       2       3       0
    63     197       3       1       2       2       0
    64     200       3       1       2       2       0
    65     203       3       1       2       2       0
    66     206       3       1       2       2       0
    67     209       3       1       2       2       0
    68     212       3       1       2       2       0
    69     215       3       1       2       2       0
    70     218       3       1       2       2       0
    71     221       3       1       2       2       0
    72     224       3       1       2       2       0
    73     227       3       1       2       2       0
    74     230       3       1       2       2       0
    75     234       4       1       2       3       0
    76     237       3       1       2       2       0
    77     240       3       1       2       2       0
    78     243       3       1       2       2       0
    79     246       3       1       2       2       0
    80     249       3       1       2       2       0
    81     252       3       1       2       2       0
    82     255       3       1       2       2       0
    83     258       3       1       2       2       0
    84     261       3       1       2       2       0
    85     264       3       1       2       2       0
    86     267       3       1       2       2       0
    87     271       4       1       2       3       0
    88     275       4       1       2       3       0
    89     278       3       1       2       2       0
    90     281       3       1       2       2       0
    91     284       3       1       2       2       0
    92     287       3       1       2       2       0
    93     290       3       1       2       2       0
    94     293       3       1       2       2       0
    95     296       3       1       2       2       0
    96     299       3       1       2       2       0
    97     302       3       1       2       2       0
    98     305       3       1       2       2       0
    99     308       3       1       2       2       0
   100     312       4       1       2       3       0
