  TimeWindow  TotalIterations  Iterations  Convergence
     1       6       6       1
     2      10       4       1
     3      13       3       1
     4      17       4       1
     5      20       3       1
     6      24       4       1
     7      27       3       1
     8      31       4       1
     9      35       4       1
    10      39       4       1
    11      43       4       1
    12      47       4       1
    13      51       4       1
    14      55       4       1
    15      57       2       1
    16      61       4       1
    17      64       3       1
    18      68       4       1
    19      71       3       1
    20      74       3       1
    21      77       3       1
    22      79       2       1
    23      82       3       1
    24      85       3       1
    25      88       3       1
    26      90       2       1
    27      93       3       1
    28      96       3       1
    29      99       3       1
    30     102       3       1
    31     104       2       1
    32     106       2       1
    33     108       2       1
    34     111       3       1
    35     115       4       1
    36     118       3       1
    37     121       3       1
    38     124       3       1
    39     127       3       1
    40     129       2       1
    41     132       3       1
    42     135       3       1
    43     137       2       1
    44     140       3       1
    45     142       2       1
    46     144       2       1
    47     146       2       1
    48     148       2       1
    49     151       3       1
    50     153       2       1
    51     155       2       1
    52     157       2       1
    53     160       3       1
    54     162       2       1
    55     165       3       1
    56     167       2       1
    57     169       2       1
    58     171       2       1
    59     173       2       1
    60     175       2       1
    61     177       2       1
    62     179       2       1
    63     181       2       1
    64     183       2       1
    65     185       2       1
    66     188       3       1
    67     191       3       1
    68     193       2       1
    69     198       5       1
    70     200       2       1
    71     202       2       1
    72     204       2       1
    73     206       2       1
    74     208       2       1
    75     210       2       1
    76     212       2       1
    77     214       2       1
    78     216       2       1
    79     218       2       1
    80     220       2       1
    81     222       2       1
    82     224       2       1
    83     226       2       1
    84     228       2       1
    85     230       2       1
    86     232       2       1
    87     234       2       1
    88     236       2       1
    89     238       2       1
    90     240       2       1
    91     242       2       1
    92     247       5       1
    93     249       2       1
    94     251       2       1
    95     253       2       1
    96     255       2       1
    97     257       2       1
    98     260       3       1
    99     262       2       1
   100     264       2       1
   101     266       2       1
   102     268       2       1
   103     270       2       1
   104     273       3       1
   105     275       2       1
   106     277       2       1
   107     279       2       1
   108     281       2       1
   109     283       2       1
   110     285       2       1
   111     287       2       1
   112     289       2       1
   113     291       2       1
   114     293       2       1
   115     295       2       1
   116     297       2       1
   117     299       2       1
   118     301       2       1
   119     303       2       1
   120     305       2       1
   121     307       2       1
   122     309       2       1
   123     311       2       1
   124     313       2       1
   125     315       2       1
   126     317       2       1
   127     319       2       1
   128     321       2       1
   129     323       2       1
   130     325       2       1
   131     327       2       1
   132     329       2       1
   133     331       2       1
   134     333       2       1
   135     335       2       1
   136     337       2       1
   137     339       2       1
   138     341       2       1
   139     343       2       1
   140     345       2       1
   141     347       2       1
   142     349       2       1
   143     351       2       1
   144     353       2       1
   145     355       2       1
