  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   5.22041133e-01   4.95905344e-01
     1       3   4.51477765e-01   1.37787031e-02
     1       4   4.07631111e-01   1.05592597e-02
     1       5   9.56134112e-03   2.49258060e-03
     1       6   1.89405505e-04   5.18647706e-05
     2       1   6.29129690e-01   3.34289781e-01
     2       2   1.26092222e-01   7.01337043e-02
     2       3   4.06802843e-03   1.59537147e-02
     2       4   1.64015034e-04   9.85732790e-05
     3       1   4.38512636e-01   1.02950425e-01
     3       2   2.39381729e-03   8.43825158e-02
     3       3   3.39625842e-03   1.10748848e-03
     4       1   3.75953202e-01   4.64603916e-02
     4       2   1.45100308e-03   4.96725301e-02
     4       3   1.58125567e-03   4.05139107e-02
     4       4   1.64174686e-04   8.19368588e-04
     5       1   2.94474463e-01   3.36234167e-02
     5       2   1.36894518e-03   1.49899059e-02
     5       3   1.13032172e-04   3.21907263e-03
     6       1   2.35054376e-01   3.38954084e-02
     6       2   7.53673429e-04   1.08656137e-02
     6       3   1.40167542e-04   1.00763922e-02
     6       4   1.62550401e-06   1.09276131e-04
     7       1   1.94870275e-01   3.96430710e-02
     7       2   1.22367841e-04   1.55358455e-02
     7       3   1.68804936e-04   2.56784557e-03
     8       1   1.71533621e-01   5.10202556e-02
     8       2   5.48306594e-05   6.00364918e-02
     8       3   1.30568282e-04   2.52168752e-02
     8       4   2.88180889e-06   2.95798661e-04
     9       1   1.41707210e-01   5.35664506e-02
     9       2   3.05540319e-05   6.89729015e-02
     9       3   9.19875157e-05   3.08985894e-02
     9       4   1.84730701e-06   1.46482456e-04
    10       1   1.25758251e-01   4.45851862e-02
    10       2   7.14424596e-05   1.26065469e-02
    10       3   6.59249432e-05   1.48458113e-02
    10       4   6.82750523e-06   2.48445685e-04
    11       1   1.13496665e-01   4.74632123e-02
    11       2   1.77200748e-04   1.00777587e-02
    11       3   1.08792575e-04   6.15101225e-03
    11       4   4.53821881e-07   1.37758830e-04
    12       1   1.03909830e-01   5.17383049e-02
    12       2   1.49001618e-04   1.96091276e-02
    12       3   1.55677302e-04   1.06407664e-02
    12       4   2.88015664e-07   2.07621500e-04
    13       1   9.06504060e-02   4.39390419e-02
    13       2   1.34192394e-04   2.20845373e-02
    13       3   6.35509219e-05   1.03120663e-02
    13       4   2.77166828e-06   7.29131003e-04
    14       1   8.25910748e-02   4.32339650e-02
    14       2   5.78490863e-05   2.36542310e-02
    14       3   7.48232320e-05   2.61942137e-02
    14       4   1.33694329e-06   2.10422626e-04
    15       1   7.59479441e-02   4.83644469e-02
    15       2   6.00805672e-05   3.71190185e-03
    16       1   6.16152166e-02   4.56095265e-02
    16       2   6.32684111e-05   9.84208439e-03
    16       3   1.01871302e-05   5.31766610e-03
    16       4   3.88723061e-06   3.18731791e-03
    17       1   4.92381465e-02   3.60134962e-02
    17       2   6.37481444e-05   1.89201105e-02
    17       3   1.57852373e-05   4.16811785e-03
    18       1   4.19938382e-02   3.54039968e-02
    18       2   7.65308820e-05   2.33250176e-02
    18       3   2.05101050e-05   7.51848785e-03
    18       4   5.75516305e-07   6.86764065e-05
    19       1   3.62318889e-02   3.09042198e-02
    19       2   4.40637703e-05   9.56944523e-03
    19       3   3.89897570e-06   1.98724487e-03
    20       1   2.65888987e-02   2.16395256e-02
    20       2   4.87974175e-05   1.59869485e-02
    20       3   1.35072990e-05   2.16628471e-03
    21       1   1.99597695e-02   1.19935765e-02
    21       2   1.55640352e-05   8.66522339e-03
    21       3   8.48496249e-06   1.08295250e-03
    22       1   1.75114025e-02   1.16340348e-02
    22       2   2.52721361e-05   4.98891059e-03
    23       1   1.46077392e-02   1.20697062e-02
    23       2   2.25384639e-05   8.68836969e-03
    23       3   8.24081960e-06   1.33173727e-03
    24       1   1.13729508e-02   1.17731505e-02
    24       2   2.69516345e-05   9.76178899e-03
    24       3   2.10974663e-06   1.28906796e-03
    25       1   9.29148437e-03   9.66699611e-03
    25       2   2.99890584e-05   1.01134772e-02
    25       3   7.47307599e-06   1.95862875e-03
    26       1   1.57219018e-02   7.57420859e-03
    26       2   9.46490169e-06   4.25160431e-03
    27       1   2.61438468e-02   1.51857300e-02
    27       2   2.18296712e-05   7.31039711e-03
    27       3   3.24489236e-06   5.29514246e-04
    28       1   3.77339110e-02   2.63885503e-02
    28       2   1.65436074e-05   5.60540724e-03
    28       3   8.69482803e-06   2.98158011e-03
    29       1   4.02938903e-02   2.77240621e-02
    29       2   2.99843354e-05   8.07608212e-03
    29       3   1.62779630e-05   4.62574064e-03
    30       1   4.63772682e-02   3.09536898e-02
    30       2   2.30166433e-05   5.53247516e-03
    30       3   1.73097548e-05   4.26308961e-03
    31       1   5.54982811e-02   4.07907080e-02
    31       2   5.52251254e-06   1.00074366e-03
    32       1   6.21124187e-02   4.36714200e-02
    32       2   1.43484816e-05   3.36687180e-03
    33       1   6.93319194e-02   3.84889268e-02
    33       2   1.26300851e-05   2.91812815e-03
