  TimeWindow  TotalIterations  Iterations  Convergence
     1       4       4       1
     2       7       3       1
     3      10       3       1
     4      13       3       1
     5      16       3       1
     6      18       2       1
     7      20       2       1
     8      22       2       1
     9      24       2       1
    10      26       2       1
    11      28       2       1
    12      30       2       1
    13      32       2       1
    14      34       2       1
    15      36       2       1
    16      38       2       1
    17      40       2       1
    18      42       2       1
    19      44       2       1
    20      46       2       1
    21      48       2       1
    22      50       2       1
    23      52       2       1
    24      54       2       1
    25      56       2       1
    26      58       2       1
    27      60       2       1
    28      62       2       1
    29      64       2       1
    30      66       2       1
    31      68       2       1
    32      70       2       1
    33      72       2       1
    34      74       2       1
    35      76       2       1
    36      78       2       1
    37      80       2       1
    38      82       2       1
    39      84       2       1
    40      86       2       1
    41      88       2       1
    42      90       2       1
    43      92       2       1
    44      94       2       1
    45      96       2       1
    46      98       2       1
    47     100       2       1
    48     102       2       1
    49     104       2       1
    50     106       2       1
    51     108       2       1
    52     110       2       1
    53     112       2       1
    54     114       2       1
    55     116       2       1
    56     118       2       1
    57     120       2       1
    58     122       2       1
    59     124       2       1
    60     126       2       1
    61     128       2       1
    62     130       2       1
    63     132       2       1
    64     134       2       1
    65     136       2       1
    66     138       2       1
    67     140       2       1
    68     142       2       1
    69     144       2       1
    70     146       2       1
    71     148       2       1
    72     150       2       1
    73     152       2       1
    74     154       2       1
    75     156       2       1
    76     158       2       1
    77     160       2       1
    78     162       2       1
    79     164       2       1
    80     166       2       1
    81     168       2       1
    82     170       2       1
    83     172       2       1
    84     174       2       1
    85     176       2       1
    86     178       2       1
    87     180       2       1
    88     182       2       1
    89     184       2       1
    90     186       2       1
    91     188       2       1
    92     190       2       1
    93     192       2       1
    94     194       2       1
    95     196       2       1
    96     198       2       1
    97     200       2       1
    98     202       2       1
    99     204       2       1
   100     206       2       1
   101     208       2       1
   102     210       2       1
   103     212       2       1
   104     214       2       1
   105     216       2       1
   106     218       2       1
   107     220       2       1
   108     222       2       1
   109     224       2       1
   110     226       2       1
   111     228       2       1
   112     230       2       1
   113     232       2       1
   114     234       2       1
   115     236       2       1
   116     238       2       1
   117     240       2       1
   118     242       2       1
   119     244       2       1
