  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   5.71509489e-01   4.99671926e-01
     1       3   3.02504478e-01   5.81202267e-04
     1       4   1.21916175e-04   7.67659547e-04
     2       1   7.58748710e-01   2.80341289e+00
     2       2   3.31383300e-02   5.51839565e-03
     2       3   3.74037516e-04   5.89870005e-04
     3       1   5.13809631e-01   4.71979858e-01
     3       2   2.20853904e-03   1.26041921e-02
     3       3   1.34389032e-04   2.89792231e-04
     4       1   3.65318074e-01   1.24567298e-01
     4       2   2.49148443e-04   1.88808281e-02
     4       3   2.72787821e-05   2.92181609e-04
     5       1   2.84634055e-01   6.93452483e-02
     5       2   6.13709316e-05   7.56362171e-03
     5       3   1.27933734e-05   1.57972736e-04
     6       1   2.35799256e-01   4.96230399e-02
     6       2   1.01569910e-05   2.27290695e-03
     7       1   2.02241757e-01   4.63320735e-02
     7       2   4.08681053e-06   2.14038608e-03
     8       1   1.77806599e-01   4.87793065e-02
     8       2   6.24047538e-06   2.02956154e-03
     9       1   1.61662296e-01   5.33913745e-02
     9       2   3.93510170e-06   3.41456869e-03
    10       1   1.53668056e-01   6.02293271e-02
    10       2   3.35795162e-06   1.57706242e-03
    11       1   1.46598885e-01   6.93993748e-02
    11       2   3.75216380e-06   1.44641223e-03
    12       1   1.34736073e-01   7.76090087e-02
    12       2   7.55586543e-07   1.46950134e-03
    13       1   1.21982103e-01   8.26852178e-02
    13       2   1.43598733e-06   5.49695860e-04
    14       1   1.11798292e-01   8.56723133e-02
    14       2   1.97146511e-06   1.37358590e-03
    15       1   1.03164470e-01   8.78074777e-02
    15       2   8.22246466e-07   1.65379334e-03
    16       1   9.45737938e-02   8.77880862e-02
    16       2   7.83929881e-07   9.18885295e-04
    17       1   8.70159174e-02   8.56932310e-02
    17       2   5.80399182e-07   8.13710545e-04
    18       1   8.09429366e-02   8.56798352e-02
    18       2   8.66699972e-07   1.07515469e-03
    19       1   7.56663786e-02   9.13613574e-02
    19       2   6.52495121e-07   1.58768728e-03
    20       1   7.11928496e-02   1.01612369e-01
    20       2   4.89078979e-07   1.37915376e-03
    21       1   6.76298661e-02   1.11859457e-01
    21       2   8.47608043e-07   7.69413420e-04
    22       1   6.47988873e-02   1.18564422e-01
    22       2   8.95417758e-07   1.45851792e-03
    23       1   6.21400782e-02   1.22810331e-01
    23       2   7.00164162e-07   6.90619372e-04
    24       1   5.90041722e-02   1.27401632e-01
    24       2   4.65084165e-07   7.83024649e-04
    25       1   5.49990500e-02   1.31526885e-01
    25       2   5.67176200e-07   1.07058778e-03
    26       1   5.09285961e-02   1.31843361e-01
    26       2   3.06785300e-07   3.29702844e-04
    27       1   4.79565939e-02   1.28887355e-01
    27       2   5.56862627e-07   9.60608737e-04
    28       1   4.60557089e-02   1.26540561e-01
    28       2   4.56117093e-07   5.88181937e-04
    29       1   4.46287944e-02   1.26135610e-01
    29       2   2.32441931e-07   3.95513966e-04
    30       1   4.30541837e-02   1.26593010e-01
    30       2   2.70186114e-07   6.55145000e-04
    31       1   4.13327475e-02   1.28009579e-01
    31       2   2.44370502e-07   1.08572203e-03
    32       1   3.99560808e-02   1.31197209e-01
    32       2   2.93839535e-07   1.05213095e-03
    33       1   3.90535266e-02   1.34852272e-01
    33       2   1.24247514e-07   1.02560067e-03
    34       1   3.81222118e-02   1.35801051e-01
    34       2   9.39265733e-08   1.07982028e-03
    35       1   3.66962382e-02   1.31681332e-01
    35       2   6.95287942e-08   1.22855967e-03
    36       1   3.49825589e-02   1.23202785e-01
    36       2   1.40369009e-07   1.30438671e-03
    37       1   3.33263740e-02   1.14246929e-01
    37       2   1.63041502e-07   1.10942336e-03
    38       1   3.18240252e-02   1.08341860e-01
    38       2   1.48894002e-07   1.15587143e-03
    39       1   3.04317637e-02   1.04907509e-01
    39       2   8.63859256e-08   1.55514709e-03
    40       1   2.92820003e-02   1.01366837e-01
    40       2   8.42219041e-08   1.67096711e-03
    41       1   2.85817909e-02   9.80517954e-02
    41       2   1.31981941e-07   1.59060373e-03
    42       1   2.82136755e-02   9.75611238e-02
    42       2   1.02628249e-07   1.33374256e-03
    43       1   2.76752752e-02   1.00205718e-01
    43       2   1.06403879e-07   1.11763770e-03
    44       1   2.65676478e-02   1.03146634e-01
    44       2   8.88887264e-08   1.15447096e-03
    45       1   2.50126485e-02   1.03696665e-01
    45       2   7.59050863e-08   8.44476537e-04
    46       1   2.33384613e-02   1.01624758e-01
    46       2   7.67955517e-08   2.77249752e-04
    47       1   2.17656376e-02   9.79607611e-02
    47       2   3.37122988e-08   1.82765412e-04
    48       1   2.02762834e-02   9.31023616e-02
    48       2   5.47920397e-08   3.95769947e-04
    49       1   1.87655311e-02   8.75678520e-02
    49       2   5.50719049e-08   8.54128546e-04
    50       1   1.73582506e-02   8.37977183e-02
    50       2   6.17927892e-08   1.05265213e-03
    51       1   1.62155523e-02   8.44319256e-02
    51       2   4.96098186e-08   7.51292595e-04
    52       1   1.53485991e-02   8.87139658e-02
    52       2   8.47216411e-08   4.40503302e-04
    53       1   1.46702057e-02   9.26926715e-02
    53       2   5.56151025e-08   4.58012554e-04
    54       1   1.41456935e-02   9.35306036e-02
    54       2   5.78295268e-08   4.41428294e-04
    55       1   1.36391689e-02   9.18085870e-02
    55       2   8.47502649e-08   9.86213305e-04
    56       1   1.28516608e-02   8.91228234e-02
    56       2   1.12802886e-07   1.34400167e-03
    57       1   1.16869911e-02   8.53415207e-02
    57       2   7.21267587e-08   9.16177435e-04
    58       1   1.04258600e-02   7.88602319e-02
    58       2   1.01923851e-07   1.41966698e-03
    59       1   9.42456332e-03   6.89930067e-02
    59       2   1.25432045e-07   1.22327287e-03
    60       1   8.68395857e-03   5.77660951e-02
    60       2   4.70325291e-08   6.46471773e-04
    61       1   8.03016014e-03   4.84793287e-02
    61       2   4.51798031e-08   3.50231480e-04
    62       1   7.25969792e-03   4.24608108e-02
    62       2   7.27114449e-08   3.59314393e-04
    63       1   6.42831287e-03   3.85826881e-02
    63       2   5.85674442e-08   3.25972915e-04
    64       1   5.95780604e-03   3.57340685e-02
    64       2   3.03835623e-08   2.18940557e-04
    65       1   5.97863222e-03   3.33292210e-02
    65       2   7.02824630e-08   8.07768309e-04
    66       1   6.12322202e-03   2.96299375e-02
    66       2   5.84091605e-08   1.09063642e-03
    67       1   5.89426388e-03   2.27997386e-02
    67       2   4.49535581e-08   9.89386459e-04
    68       1   5.13693068e-03   1.48838479e-02
    68       2   4.28295913e-08   5.93242312e-04
    69       1   4.19276261e-03   1.31629761e-02
    69       2   4.57475721e-08   5.34479772e-04
    70       1   3.67994048e-03   1.69168280e-02
    70       2   4.10807509e-08   6.52520090e-04
    71       1   3.62966252e-03   2.07842073e-02
    71       2   6.93628667e-08   8.85548137e-04
    72       1   3.45938552e-03   2.45122950e-02
    72       2   9.93898000e-08   5.67332398e-04
    73       1   3.06043656e-03   2.74236442e-02
    73       2   1.53838034e-08   2.26730829e-04
    74       1   2.81308313e-03   2.74456692e-02
    74       2   4.75785765e-08   5.00078993e-04
    75       1   3.09478756e-03   2.39627399e-02
    75       2   3.05729723e-08   3.29277936e-04
    76       1   3.77219387e-03   1.98395579e-02
    76       2   2.68795885e-08   1.61401537e-04
    77       1   4.63508368e-03   1.88858654e-02
    77       2   2.72508208e-08   3.13147493e-04
    78       1   5.49647708e-03   2.18504536e-02
    78       2   3.03912621e-08   4.02330144e-04
    79       1   6.41144593e-03   2.74423736e-02
    79       2   1.65163310e-08   1.06695107e-04
    80       1   7.66034249e-03   3.45868550e-02
    80       2   3.19376359e-08   1.50754990e-04
    81       1   9.20549778e-03   4.21078786e-02
    81       2   3.78355830e-08   2.48706280e-04
    82       1   1.07005380e-02   4.84038456e-02
    82       2   3.79542751e-08   3.83973499e-04
    83       1   1.17391041e-02   5.19656255e-02
    83       2   4.40781065e-08   2.25049722e-04
    84       1   1.22011449e-02   5.26654277e-02
    84       2   4.03877646e-08   9.69073674e-05
    85       1   1.23813841e-02   5.25895278e-02
    85       2   3.61613559e-08   3.02816488e-04
    86       1   1.26674091e-02   5.43340366e-02
    86       2   2.87952516e-08   1.46593277e-04
    87       1   1.31623584e-02   5.85424970e-02
    87       2   2.68271126e-08   2.11557391e-04
    88       1   1.37769810e-02   6.40688941e-02
    88       2   3.10941692e-08   9.54938584e-05
    89       1   1.45415423e-02   7.04832124e-02
    89       2   2.42087948e-08   1.60477209e-04
    90       1   1.55059834e-02   7.93468916e-02
    90       2   2.56098810e-08   1.30978236e-04
    91       1   1.65665771e-02   9.16448407e-02
    91       2   2.84319056e-08   1.17674668e-04
    92       1   1.75338441e-02   1.05293410e-01
