  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   3.03540929e-01   4.98716570e-01
     1       3   2.35525186e-01   4.29660949e-04
     1       4   4.03536051e-05   1.22517611e-03
     2       1   7.07779528e-01   3.54230733e-01
     2       2   2.73217742e-03   6.43676645e-03
     2       3   1.61197631e-04   5.91602032e-05
     3       1   4.98517143e-01   1.10019103e-01
     3       2   2.95120300e-04   9.93835225e-03
     3       3   3.34665528e-05   6.55928264e-05
     4       1   3.96608059e-01   5.14906212e-02
     4       2   8.40502423e-05   6.07979571e-03
     4       3   4.79023946e-05   5.60570518e-04
     5       1   3.21688477e-01   2.70947025e-02
     5       2   1.90585653e-05   4.25942290e-03
     6       1   2.62245980e-01   2.45029866e-02
     6       2   8.18284436e-06   5.78311467e-03
     6       3   2.10110643e-06   9.13730254e-04
     7       1   2.21337079e-01   2.92148872e-02
     7       2   8.54934134e-06   3.93631151e-03
     8       1   1.93727457e-01   3.55119910e-02
     8       2   6.91341505e-06   2.84825345e-03
     9       1   1.66826198e-01   4.19378785e-02
     9       2   2.64427797e-06   2.08498465e-03
    10       1   1.45281389e-01   4.43231963e-02
    10       2   2.18091154e-06   1.24745149e-03
    11       1   1.29999080e-01   4.45434905e-02
    11       2   1.63192093e-06   1.48251336e-03
    12       1   1.17788824e-01   4.65223309e-02
    12       2   3.63411208e-07   1.40056420e-03
    13       1   1.03893747e-01   4.82962578e-02
    13       2   5.86986730e-07   4.34819565e-04
    14       1   9.24474052e-02   4.66848649e-02
    14       2   3.11222740e-07   6.62278945e-04
    15       1   8.37248569e-02   4.53977739e-02
    15       2   5.65939156e-07   1.21252869e-03
    16       1   7.32196855e-02   4.56980543e-02
    16       2   3.32395681e-07   4.13935167e-04
    17       1   6.21642101e-02   4.30725620e-02
    17       2   5.58048629e-07   1.10892232e-03
    18       1   5.35509827e-02   3.82945362e-02
    18       2   4.19292852e-07   6.03267699e-04
    19       1   4.64129991e-02   3.54572126e-02
    19       2   3.23573874e-07   1.30631852e-03
    20       1   3.76813900e-02   3.26934859e-02
    20       2   3.80263479e-07   3.77497034e-04
    21       1   3.03680012e-02   2.70887455e-02
    21       2   3.46699561e-07   5.11285017e-04
    22       1   2.43758422e-02   2.21012338e-02
    22       2   6.80333469e-07   7.94616616e-04
    23       1   1.85775064e-02   1.91205097e-02
    23       2   2.37934607e-07   4.32212182e-04
    24       1   1.08210134e-02   1.47412120e-02
    24       2   5.95287286e-07   1.06632723e-03
    25       1   4.63165452e-03   8.54466914e-03
    25       2   3.89942530e-07   2.78459170e-04
    26       1   4.30188828e-03   4.26398090e-03
    27       1   1.11678929e-02   4.70134832e-03
    27       2   1.46522464e-06   1.50882356e-03
    28       1   2.00395282e-02   8.04669928e-03
    28       2   3.83169671e-07   8.26255178e-04
    29       1   2.58836536e-02   1.54215235e-02
