  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       5       5       1       3       1       0
     2       8       3       1       5       0       0
     3      11       3       1       7       0       0
     4      14       3       1       9       0       0
     5      17       3       1      11       0       0
     6      19       2       1      12       0       0
     7      21       2       1      13       0       0
     8      23       2       1      14       0       0
     9      25       2       1      15       0       0
    10      27       2       1      16       0       0
    11      29       2       1      17       0       0
    12      31       2       1      18       0       0
    13      33       2       1      19       0       0
    14      35       2       1      20       0       0
    15      37       2       1      21       0       0
    16      39       2       1      19       0       3
    17      41       2       1      18       0       2
    18      43       2       1      17       0       2
    19      45       2       1      16       0       2
    20      47       2       1      16       1       0
    21      49       2       1      15       0       2
    22      51       2       1      15       0       1
    23      53       2       1      15       1       0
    24      55       2       1      15       0       1
    25      57       2       1      15       1       0
    26      59       2       1      15       1       0
    27      61       2       1      15       0       1
    28      63       2       1      15       0       1
    29      65       2       1      15       0       1
    30      67       2       1      15       1       0
    31      69       2       1      15       1       0
    32      71       2       1      15       0       1
    33      73       2       1      15       0       1
    34      75       2       1      15       0       1
    35      77       2       1      15       1       0
    36      79       2       1      15       1       0
    37      81       2       1      15       0       1
    38      83       2       1      14       2       0
    39      85       2       1      15       0       0
    40      87       2       1      15       1       0
    41      89       2       1      15       0       1
    42      91       2       1      15       0       1
    43      93       2       1      15       0       1
    44      95       2       1      15       1       0
    45      97       2       1      15       1       0
    46      99       2       1      15       1       0
    47     101       2       1      15       1       0
    48     103       2       1      15       0       1
    49     105       2       1      15       0       1
    50     107       2       1      15       0       1
    51     109       2       1      15       1       0
    52     111       2       1      15       1       0
    53     113       2       1      15       0       1
    54     115       2       1      14       2       0
    55     117       2       1      15       0       0
    56     119       2       1      15       1       0
    57     121       2       1      15       1       0
    58     123       2       1      15       1       0
    59     125       2       1      15       0       1
    60     127       2       1      15       1       0
    61     129       2       1      15       1       0
    62     131       2       1      14       2       0
    63     133       2       1      12       3       0
    64     135       2       1      12       1       0
    65     137       2       1      13       0       0
    66     139       2       1      14       0       0
    67     141       2       1      14       1       0
    68     143       2       1      15       0       0
    69     145       2       1      15       0       1
    70     147       2       1      15       1       0
    71     149       2       1      15       1       0
    72     151       2       1      15       0       1
    73     153       2       1      15       0       1
    74     155       2       1      15       1       0
    75     157       2       1      15       1       0
    76     159       2       1      15       1       0
    77     161       2       1      14       2       0
    78     163       2       1      13       2       0
    79     165       2       1      12       2       0
    80     167       2       1      12       1       0
    81     169       2       1      13       0       0
    82     171       2       1      13       1       0
    83     173       2       1      13       1       0
    84     175       2       1      14       0       0
    85     177       2       1      15       0       0
    86     179       2       1      15       1       0
    87     181       2       1      15       1       0
    88     183       2       1      15       1       0
    89     185       2       1      15       0       1
    90     187       2       1      15       0       1
    91     189       2       1      15       1       0
    92     191       2       1      15       0       1
    93     193       2       1      15       1       0
    94     195       2       1      14       2       0
    95     197       2       1      12       3       0
    96     199       2       1      12       1       0
    97     201       2       1      13       0       0
    98     203       2       1      13       1       0
    99     205       2       1      14       0       0
   100     207       2       1      15       0       0
   101     209       2       1      15       1       0
   102     211       2       1      15       0       1
   103     213       2       1      15       0       1
   104     215       2       1      15       1       0
   105     217       2       1      15       0       1
   106     219       2       1      15       0       1
   107     221       2       1      15       1       0
   108     223       2       1      15       1       0
   109     225       2       1      14       2       0
   110     227       2       1      13       2       0
   111     229       2       1      12       2       0
   112     231       2       1      12       1       0
   113     233       2       1      13       0       0
   114     235       2       1      14       0       0
   115     237       2       1      14       1       0
   116     239       2       1      13       2       0
   117     241       2       1      14       0       0
   118     243       2       1      15       0       0
   119     245       2       1      15       1       0
   120     247       2       1      15       1       0
   121     249       2       1      15       1       0
   122     251       2       1      15       0       1
   123     253       2       1      15       1       0
   124     255       2       1      15       0       1
   125     257       2       1      15       1       0
   126     259       2       1      14       2       0
   127     261       2       1      13       2       0
   128     263       2       1      10       4       0
   129     265       2       1      11       0       0
   130     267       2       1      12       0       0
   131     269       2       1      13       0       0
   132     271       2       1      13       1       0
   133     273       2       1      14       0       0
   134     275       2       1      14       1       0
   135     277       2       1      14       1       0
   136     279       2       1      15       0       0
   137     281       2       1      15       1       0
   138     283       2       1      15       0       1
   139     285       2       1      15       0       1
   140     287       2       1      15       1       0
   141     289       2       1      14       2       0
   142     291       2       1      14       1       0
   143     293       2       1      13       2       0
   144     295       2       1       9       5       0
   145     297       2       1      10       0       0
   146     299       2       1      10       1       0
   147     301       2       1      11       0       0
   148     303       2       1      11       1       0
   149     305       2       1      12       0       0
   150     307       2       1      13       0       0
   151     309       2       1      14       0       0
   152     311       2       1      15       0       0
   153     313       2       1      15       1       0
   154     315       2       1      15       1       0
   155     317       2       1      15       1       0
   156     319       2       1      15       1       0
   157     321       2       1      15       0       1
   158     323       2       1      15       1       0
   159     325       2       1      15       1       0
   160     327       2       1      12       4       0
   161     329       2       1      13       0       0
   162     331       2       1      14       0       0
   163     333       2       1      15       0       0
   164     335       2       1      15       1       0
   165     337       2       1      14       2       0
   166     339       2       1      15       0       0
   167     341       2       1      15       1       0
   168     343       2       1      15       0       1
   169     345       2       1      15       1       0
   170     347       2       1      15       0       1
   171     349       2       1      14       2       0
   172     351       2       1      15       0       0
   173     353       2       1      15       1       0
   174     355       2       1      12       4       0
   175     357       2       1      11       2       0
   176     359       2       1      11       1       0
   177     361       2       1      11       1       0
   178     363       2       1      12       0       0
   179     365       2       1      12       1       0
   180     367       2       1      12       1       0
   181     369       2       1      13       0       0
   182     371       2       1      14       0       0
   183     373       2       1      14       1       0
   184     375       2       1      15       0       0
   185     377       2       1      15       1       0
   186     379       2       1      15       1       0
   187     381       2       1      15       1       0
   188     383       2       1      15       1       0
   189     385       2       1      15       1       0
   190     387       2       1      15       1       0
   191     389       2       1      15       1       0
   192     391       2       1      15       1       0
   193     393       2       1      15       1       0
   194     395       2       1      15       1       0
   195     397       2       1      14       2       0
   196     399       2       1      15       0       0
   197     401       2       1      15       1       0
   198     403       2       1      15       1       0
   199     405       2       1      15       0       1
   200     407       2       1      15       1       0
