  TimeWindow  TotalIterations  Iterations  Convergence
     1       8       8       1
     2      12       4       1
     3      17       5       1
     4      23       6       1
     5      28       5       1
     6      32       4       1
     7      36       4       1
     8      40       4       1
     9      44       4       1
    10      48       4       1
    11      52       4       1
    12      57       5       1
    13      61       4       1
    14      65       4       1
    15      69       4       1
    16      73       4       1
    17      77       4       1
    18      80       3       1
    19      84       4       1
    20      88       4       1
