  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   3.75299404e-01   4.72639345e-01
     1       3   4.17793966e-01   1.26275708e-02
     1       4   1.40721750e-01   2.54411589e-02
     1       5   4.45208976e-01   3.91438058e-02
     1       6   1.22222723e-01   5.33610348e-03
     1       7   7.19771704e-02   1.46692092e-03
     1       8   5.32256320e-02   1.43066565e-04
     1       9   5.92626421e-05   1.11325274e-04
     2       1   5.78683274e-01   1.32891781e-01
     2       2   2.53644068e-02   5.90670917e-02
     2       3   6.04536423e-03   1.90299526e-02
     2       4   1.23311642e-03   1.06377824e-02
     2       5   2.22000917e-05   9.60538069e-04
     3       1   2.74268768e-01   1.44686442e-01
     3       2   1.52787218e-02   1.00570359e-01
     3       3   9.76767242e-03   1.23336677e-02
     3       4   6.78711077e-04   1.02197613e-03
     4       1   3.92593514e-02   1.10560006e-01
     4       2   1.56838280e-02   6.16290474e-02
     4       3   5.97632047e-03   2.84673325e-02
     4       4   6.32829720e-04   2.69070236e-03
     5       1   4.61914293e-01   6.16079165e-02
     5       2   2.34368569e-02   4.28796787e-02
     5       3   1.52475590e-02   3.53332549e-02
     5       4   4.97929830e-05   9.75263805e-03
     5       5   1.14492379e-03   5.51629110e-03
     5       6   1.54690617e-04   2.41985151e-04
