  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       8       8       1       7       0       0
     2      16       8       1      14       0       0
     3      23       7       1      17       3       0
     4      30       7       1      19       4       0
     5      36       6       1      23       1       0
     6      42       6       1      23       5       0
     7      49       7       1      24       5       0
     8      55       6       1      27       2       0
     9      62       7       1      29       4       0
    10      68       6       1      33       1       0
    11      73       5       1      33       4       0
    12      78       5       1      35       2       0
    13      82       4       1      35       3       0
    14      88       6       1      37       3       0
    15      94       6       1      38       4       0
    16      99       5       1      39       3       0
    17     106       7       1      41       3       1
    18     111       5       1      41       2       2
    19     117       6       1      42       4       0
    20     123       6       1      43       4       0
    21     130       7       1      42       5       2
    22     135       5       1      42       3       1
    23     139       4       1      42       2       1
    24     145       6       1      42       4       1
    25     150       5       1      42       3       1
    26     155       5       1      42       4       0
    27     159       4       1      43       1       1
    28     163       4       1      43       2       1
    29     167       4       1      40       4       2
    30     171       4       1      41       1       1
    31     177       6       1      42       3       1
    32     181       4       1      41       2       2
    33     186       5       1      39       6       0
    34     190       4       1      39       1       2
    35     193       3       1      39       1       1
    36     198       5       1      41       1       1
    37     202       4       1      40       2       2
    38     208       6       1      40       4       1
    39     213       5       1      38       4       2
    40     218       5       1      38       2       2
    41     223       5       1      40       1       1
    42     228       5       1      41       2       1
    43     234       6       1      42       3       1
    44     239       5       1      43       2       1
    45     245       6       1      44       3       1
    46     250       5       1      43       2       3
    47     254       4       1      44       1       1
    48     259       5       1      45       0       3
    49     264       5       1      43       5       1
    50     267       3       1      42       2       1
